"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",1769.7811317594,0.0388262896998019,0.0506480016762082,0.766590752148874,0.4433248755769,0.838266853708595
"TNMD",11.4946253457296,0.0683558650086747,0.431804923008901,0.158302653273052,0.874218317496817,NA
"DPM1",1704.49557235718,-0.0531740815941234,0.0728438900174773,-0.729973118972168,0.46540661592084,0.850066058787507
"SCYL3",470.267211090083,-0.0254372721705896,0.0738387230686267,-0.344497725765759,0.730472006064712,0.945162978093562
"FIRRM",979.92219478884,0.0472257885878987,0.059556578018785,0.792956717106933,0.427803040800346,0.829381578341805
"FUCA2",2705.37856368665,0.074752993166829,0.0414033668178126,1.80548102514863,0.0709994421411772,0.448181701725451
"GCLC",2255.84494928389,-0.0712169653264722,0.0481629167476122,-1.47866803208099,0.139229060244412,0.579689095024203
"NFYA",2324.38713782997,-0.0549376987297843,0.0461744819800015,-1.18978484162699,0.234130968934169,0.694769250071654
"STPG1",488.575341457705,0.197782262396006,0.0795479160583178,2.48632864563049,0.0129068710214454,0.200107482112717
"NIPAL3",2032.17358897962,-0.010614552110668,0.0517012699008075,-0.20530544280697,0.837333491889787,0.973053173771611
"LAS1L",3828.96644806976,0.0823834821295078,0.0512277097782039,1.60818202660623,0.107795318387398,0.526666683137908
"ENPP4",1010.60132634373,0.083582049901951,0.0760128668683303,1.09957765501375,0.271516182188729,0.726566762123524
"SEMA3F",155.058266140343,-0.189539070086581,0.133836643470858,-1.41619712786545,0.156717796586624,0.602797389201863
"ANKIB1",1252.05638945399,-0.00241926056178325,0.0704136542430138,-0.0343578328350042,0.972591808126486,0.997025684972834
"CYP51A1",179.486702250539,-0.216654333855605,0.164683970730118,-1.31557633019825,0.188316282386958,0.64222012274633
"KRIT1",260.264871311772,0.150034631055797,0.114902082647268,1.30576076254754,0.191633927310777,0.646272922870471
"RAD52",611.044895826804,0.151546089699158,0.0700153742155801,2.16446875271339,0.030428392222193,0.314485231448063
"BAD",687.602799600376,-0.177310395329545,0.0957360198526259,-1.85207611098197,0.0640148943573774,0.43171416049519
"LAP3",1691.22744915084,0.113804123442791,0.064861121396146,1.75458149648262,0.079330918756599,0.469819762831275
"WNT16",70.6385747360794,-0.347415136232963,0.187145935552181,-1.85638622184288,0.0633985271943092,NA
"HECW1",14.5079795933522,-0.0680847256999915,0.425659132892846,-0.159951285990922,0.872919448180549,NA
"LASP1",2470.66182568416,0.0239615083619592,0.0419269567586635,0.571506024152539,0.567656677967674,0.89813273007154
"SNX11",696.848551076991,-0.0252440866956445,0.068921809563025,-0.366271385729653,0.714162579165843,0.939617038417893
"M6PR",2600.11777221647,-0.0336578521761942,0.0374559003909201,-0.898599468305759,0.368866042029731,0.79380419981815
"KLHL13",566.117017976683,-0.0016699750094204,0.071595849177678,-0.0233250255231425,0.981391009661388,0.997143504066316
"CYP26B1",82.5725596670903,-0.0257843610080116,0.164022196863347,-0.157200436898754,0.875086883987099,NA
"ICA1",90.4626474217391,0.372356345808035,0.169309576936712,2.19926334082815,0.0278592027654675,0.302080285986091
"DBNDD1",1167.23470282679,-0.0821711984042481,0.0624929100961014,-1.31488833337871,0.18854743423228,0.64222012274633
"ALS2",1177.80648601533,-0.052860361055349,0.0575499917979613,-0.918512051937799,0.358350852282011,0.786307876834282
"CASP10",98.3268475332564,-0.137594818115035,0.154164131078171,-0.892521607670631,0.372113416351678,0.796778906552474
"CFLAR",705.244214541615,-0.190062404233026,0.0748625334373387,-2.53881875894717,0.0111227427215462,0.192736765779132
"TFPI",363.165272353231,-0.293525633005242,0.0936249538227676,-3.13512179200523,0.00171782776336014,0.0667225105365027
"NDUFAF7",554.054340032279,0.0395975345056573,0.0721688918831742,0.548678710070222,0.583225959209467,0.903024034250449
"RBM5",2076.62832496688,0.129511714640061,0.040207672797999,3.22106965232034,0.00127713105433251,0.0557723944009955
"MTMR7",527.793928731348,0.0910362622539933,0.0715015499324754,1.27320683733382,0.202944654979328,0.660559698753801
"SLC7A2",3507.11253181747,-0.0235576222097476,0.0614978356200716,-0.383064248883239,0.701672126771507,0.937215136827469
"ARF5",3059.59336281985,0.0361423304199318,0.0664074458458254,0.544251174843278,0.586268640575157,0.903347675894553
"SARM1",758.021935079931,-0.142921147106754,0.0833188470166553,-1.71535195486064,0.0862807184113125,0.483418725454976
"POLDIP2",6631.35739344108,-0.0309447555528935,0.0425960122104308,-0.726470717493968,0.467550252442502,0.85122612865093
"PLXND1",721.519328090904,-0.00203945735105487,0.0689717741940838,-0.0295694488779703,0.976410430917925,0.997143504066316
"AK2",9305.0723959398,-0.00134759348956758,0.0351320311543683,-0.0383579726331884,0.969402269283456,0.996133979443578
"FKBP4",13296.1268615153,0.00463236872138781,0.0361464391290612,0.128155603511812,0.89802583354056,0.980699837385503
"KDM1A",7432.69841943198,-0.0320845783160723,0.0309945501216823,-1.03516838250952,0.300590281674157,0.750692037589217
"RBM6",1813.2550548682,0.0221030371170032,0.0473863146287655,0.466443471921443,0.640898100881681,0.924814606515051
"CAMKK1",1248.59550195359,-0.0787178192204254,0.0540008547474887,-1.45771431931059,0.144919303359725,0.588041619140732
"RECQL",1687.17860142936,0.0585020348459098,0.0584366846474466,1.00111830776947,0.31676961499198,0.760338385059919
"VPS50",1169.70877645238,0.0173391843547383,0.065803912218041,0.263497773464972,0.792166939452289,0.961198375996494
"HSPB6",27.0286094787727,0.156669898324514,0.324189853802176,0.483265890301786,0.628906955950915,NA
"ARHGAP33",625.649749628621,0.111201569218424,0.0783524130594841,1.41924881284768,0.155826489520357,0.602130608906358
"NDUFAB1",3119.92102582097,-0.0921511626724309,0.0739764916335056,-1.2456817110085,0.212881270614793,0.671214318906662
"PDK4",112.878800575947,0.219705867288244,0.149565781658821,1.4689581056008,0.141844152775749,0.583258225802154
"ZMYND10",17.4014716510087,0.136531952677264,0.363065867683439,0.37605284558533,0.706877609364161,NA
"ARX",19.4178668718943,-0.145510692161057,0.361349379170536,-0.402686985363229,0.687178509372542,NA
"SLC25A13",2963.22561508734,0.0147549164404095,0.0435064253621136,0.339143386697507,0.734501715282835,0.94697039985908
"ST7",1056.63697091465,0.0246733849220539,0.0550501674262133,0.448198181324788,0.65401017515362,0.926926687588984
"CDC27",5548.12211138307,-0.0973335860422552,0.0495170235115113,-1.96565906308217,0.0493380065705233,0.391363955407575
"HCCS",536.945907792324,0.1330815455382,0.0761013342807123,1.7487412907546,0.0803357491770918,0.471929233695389
"DVL2",1910.0836339441,0.0527555465717647,0.0464619990200225,1.13545580656205,0.256184388549535,0.714054493050505
"UPF1",4652.5073124501,-0.103034858361407,0.0448325140989664,-2.29821727449772,0.0215494259989838,0.265413872333006
"SKAP2",1912.01166066448,0.0745241971095946,0.0519938907789078,1.43332603106184,0.151764686195926,0.595775665050566
"SLC25A5",15381.7393233142,-0.0127287191572901,0.0465425867090688,-0.273485426086339,0.784480093783609,0.958258241482291
