"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",1822.77672000015,0.0426966293961783,0.0621468094626152,0.687028501790792,0.492064767810607,0.999727466005053
"TNMD",16.5216160159532,0.325231150370332,0.616942706498171,0.527165889060229,0.598078394243044,0.999727466005053
"DPM1",1641.94638643292,0.00247064510485974,0.0886318773123867,0.0278753556821531,0.977761564120467,0.999727466005053
"SCYL3",475.855710606525,0.0771320252225518,0.100969085577806,0.763917240422212,0.444916562713993,0.999727466005053
"FIRRM",980.326498065956,-0.0133924363802956,0.0800577710770123,-0.167284652072222,0.867146079846078,0.999727466005053
"FUCA2",2716.39015817253,0.147796507262468,0.0507926101833042,2.90980334991821,0.00361656231283885,0.999727466005053
"GCLC",2306.15236647309,0.0332421548903432,0.0635606840608704,0.522998696151666,0.600975160589764,0.999727466005053
"NFYA",2319.9445969276,-0.0691344085104768,0.0539290848961249,-1.2819503361431,0.199860068612659,0.999727466005053
"STPG1",447.448415753894,0.0875447895235119,0.112117112520747,0.780833429930797,0.434900469404649,0.999727466005053
"NIPAL3",2065.41939623325,-0.0882917080813359,0.0597198716513427,-1.47843097515014,0.13929245966102,0.999727466005053
"LAS1L",3694.6744182883,-0.0296816488441507,0.0501690521633841,-0.591632641324124,0.554096611154727,0.999727466005053
"ENPP4",1006.50350843644,0.039108245982567,0.0914351181803102,0.42771581380193,0.668858035185826,0.999727466005053
"SEMA3F",140.40177164393,0.0109163812907821,0.197244856169974,0.0553443141826472,0.955864158631094,0.999727466005053
"ANKIB1",1307.42250647804,-0.0104730564524959,0.0735133931097649,-0.142464604196112,0.886713035915496,0.999727466005053
"CYP51A1",170.969705799607,-0.100320803517096,0.192653727108595,-0.520731184507774,0.602554047357952,0.999727466005053
"KRIT1",257.241605817447,0.173476410949788,0.145536495466083,1.19197875690374,0.23326957491838,0.999727466005053
"RAD52",586.856373924109,-0.0774264395716211,0.0896789905993912,-0.863373227710557,0.387932294302697,0.999727466005053
