"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",1769.7811317594,-0.109439660231825,0.0521910961461824,-2.09690288790438,0.0360021728460182,0.181697377166355
"TNMD",11.4946253457296,-2.21470288226346,1.46977796015375,-1.50682820283397,0.13185469851474,NA
"DPM1",1704.49557235718,-0.219883342860609,0.0722888124916938,-3.04173405650942,0.00235219613242603,0.038428414956223
"SCYL3",470.267211090083,0.126988242838119,0.0762783345738895,1.66480093656355,0.0959524770379901,0.304265748155495
"FIRRM",979.92219478884,0.143822699616544,0.0601135153030514,2.39251853583154,0.0167331828557561,0.118330540883772
"FUCA2",2705.37856368665,-0.0292985841723043,0.0416766724287753,-0.702997203588531,0.482057492186547,0.711772676584377
"GCLC",2255.84494928389,-0.0762873970777866,0.0489225023251539,-1.55935190254082,0.118913113512625,0.342310425708756
"NFYA",2324.38713782997,-0.0593605645944318,0.0466566759416421,-1.27228447797438,0.203272061579208,0.456055682632545
"STPG1",488.575341457705,0.0798351414939521,0.0755391919226305,1.05687047295557,0.290570705837824,0.549211661121112
"NIPAL3",2032.17358897962,0.194103275929003,0.0522236733475044,3.71676796148387,0.000201787609626705,0.00824900332662042
"LAS1L",3828.96644806976,-0.0101401838305435,0.0508991516812709,-0.199221077279265,0.842089812591612,0.931321079286004
"ENPP4",1010.60132634373,0.147284166958025,0.0767399286394316,1.91926379877222,0.0549509570286874,0.226174960904935
"SEMA3F",155.058266140343,0.0686355667606988,0.126261323762997,0.543599296404762,0.586717244066345,0.785505909519161
"ANKIB1",1252.05638945399,0.121544263411525,0.0724492824904384,1.67764619929212,0.0934161881341412,0.29987033452762
"CYP51A1",179.486702250539,-0.114000019671146,0.161589954817344,-0.705489520063347,0.480505651525346,0.711099568561486
"KRIT1",260.264871311772,-0.0749857024248068,0.115320569567568,-0.650237010673726,0.515539137612172,0.737551382562805
"RAD52",611.044895826804,0.0902416107852441,0.068165321798992,1.32386392968776,0.185548239533487,0.435507175109568
"BAD",687.602799600376,-0.234232632077551,0.0930295181167127,-2.51783129504861,0.0118079863731414,0.099180998943474
"LAP3",1691.22744915084,0.0463078360048481,0.0646193400656798,0.716625022133936,0.473605500764993,0.706075172457965
