"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",1769.7811317594,-0.00332199356880116,0.0512187133308986,-0.0648589812738835,0.948286279994254,0.988178297804218
"TNMD",11.4946253457296,-0.258029825722794,0.473890865027512,-0.544492086184895,0.586102892768142,NA
"DPM1",1704.49557235718,-0.0549627322411574,0.072410371900112,-0.759045020746156,0.447825625883756,0.810220761190311
"SCYL3",470.267211090083,-0.102461718204994,0.0743219882110628,-1.37861917679084,0.168012200756911,0.581885086284865
"FIRRM",979.92219478884,0.0613217392546972,0.0600248413690125,1.02160601937641,0.306967407579267,0.718420654826817
"FUCA2",2705.37856368665,-0.0725630434914215,0.0414892187649775,-1.7489614326668,0.0802976862600307,0.433344528640381
"GCLC",2255.84494928389,-0.104142595413035,0.0481243334452419,-2.16403195550819,0.0304618969951513,0.280022535364646
"NFYA",2324.38713782997,0.0146743049291461,0.0465576627792628,0.315185601105435,0.752620737482122,0.941365251963486
"STPG1",488.575341457705,0.110550539922719,0.078493485998583,1.40840400341902,0.159011474452188,0.570043359958266
"NIPAL3",2032.17358897962,0.0773588085917877,0.0517120521014554,1.49595317625406,0.134665857496508,0.539744528469196
"LAS1L",3828.96644806976,0.11180198014573,0.0511795103930221,2.18450663726892,0.028925040100679,0.272274274222684
"ENPP4",1010.60132634373,0.0458578276634618,0.0767476334015144,0.597514550364714,0.550163895431425,0.86201511994613
"SEMA3F",155.058266140343,-0.199411500640564,0.130013203000368,-1.53377884736829,0.125084068517644,0.524687323567938
"ANKIB1",1252.05638945399,0.00951341937965659,0.0712508982888575,0.133519992142251,0.89378215438401,0.976544819475802
"CYP51A1",179.486702250539,-0.117887607564663,0.16314742275527,-0.722583327237114,0.469935914534492,0.824675917681204
"KRIT1",260.264871311772,-0.0228760127247978,0.115473111502509,-0.198106835670577,0.842961476736486,0.964088508510101
"RAD52",611.044895826804,0.229224486657367,0.0680345092792558,3.36923848037894,0.000753761816063159,0.0349588990881608
"BAD",687.602799600376,-0.0843263802081202,0.0932551198412533,-0.904254697776033,0.365860362451397,0.759772470832374
"LAP3",1691.22744915084,0.143295277793626,0.0648958157951406,2.20808192389433,0.027238562834072,0.264381793612368
"WNT16",70.6385747360794,-0.175529144054161,0.193240617091697,-0.908344977861815,0.363695986072711,0.75794506323614
"HECW1",14.5079795933522,-0.94260091325972,0.373577517283768,-2.52317355742723,0.0116300985257071,NA
"LASP1",2470.66182568416,0.0142307802642009,0.0422029082978992,0.337199042391808,0.735966859127329,0.936624118233609
"SNX11",696.848551076991,-0.142415499911438,0.0699070147488875,-2.03721329573303,0.0416286720389556,0.323062626433963
"M6PR",2600.11777221647,-0.026110246291633,0.0378244050812055,-0.690301572108713,0.490004559445804,0.833101812354115
"KLHL13",566.117017976683,-0.121507058923443,0.0713978023664936,-1.70183191773512,0.0887868813635908,0.45167389094368
"CYP26B1",82.5725596670903,0.122402324998969,0.154159147788212,0.793999751264382,0.42719557615279,0.800345752939093
"ICA1",90.4626474217391,-0.356075066620292,0.157386700412107,-2.26242157493571,0.0236713691924421,0.244990696473254
"DBNDD1",1167.23470282679,-0.0749106599363709,0.0578203983148015,-1.29557495485455,0.195121962334081,0.614566371808537
"ALS2",1177.80648601533,-0.123554608272354,0.058053243065878,-2.12829812336489,0.0333123736096091,0.294676924229421
"CASP10",98.3268475332564,0.0872825080195352,0.16702064881832,0.522585133257856,0.601262988438264,0.885168994451092
"CFLAR",705.244214541615,-0.122034883947929,0.0746331774924683,-1.63512914829661,0.102021976924216,0.479824554736579
"TFPI",363.165272353231,-0.355245032830987,0.0964366936310062,-3.68371228269454,0.000229861684729414,0.0142062839965465
"NDUFAF7",554.054340032279,0.0880489037977462,0.0709883440807718,1.24032902778466,0.214853719966542,0.635535799926435
"RBM5",2076.62832496688,0.0834459164521225,0.0400982794539266,2.08103483711821,0.037430717478628,0.308961778803137
"MTMR7",527.793928731348,-0.083669625675819,0.0697021682412814,-1.20038770366781,0.229988802176938,0.655536076356426
"SLC7A2",3507.11253181747,-0.0380201169108743,0.0615684402411883,-0.617526069556647,0.536887791480904,0.854788083472177
"ARF5",3059.59336281985,0.0314096858327046,0.0665159235431665,0.472213030498191,0.636774739761617,0.90033838741061
"SARM1",758.021935079931,-0.064037158152465,0.081309465069354,-0.787573231453972,0.430946377517274,0.80278344259612
"POLDIP2",6631.35739344108,0.000344195399968347,0.0425098775270189,0.00809683348886572,0.993539732155727,0.99865806566238
"PLXND1",721.519328090904,-0.019842733156089,0.0671325503325286,-0.295575440792905,0.767554331428772,0.943856580303596
"AK2",9305.0723959398,-0.0151057520988633,0.0350194654212177,-0.431353018019258,0.666211705634357,0.912854194784448
"FKBP4",13296.1268615153,-0.0393362387851024,0.0361222120944509,-1.08897646362985,0.276164264926584,0.69360632584203
"KDM1A",7432.69841943198,-0.0215620721266126,0.0308981402086978,-0.697843688357106,0.48527495381364,0.830928234746557
"RBM6",1813.2550548682,-0.0919959086244401,0.0475505750184463,-1.93469602815007,0.0530276080689799,0.359917255982481
"CAMKK1",1248.59550195359,0.0382322957400786,0.0532658432671851,0.717763831284953,0.472902918084243,0.826068206294522
"RECQL",1687.17860142936,0.0194840435532504,0.0586436841498565,0.332244534696378,0.739704618034068,0.938028754829029
"VPS50",1169.70877645238,0.0251153254254986,0.0665036333256557,0.377653432896119,0.705688065361521,0.925912290608706
"HSPB6",27.0286094787727,0.0936489098935405,0.339595889099277,0.275765734803001,0.782728003228009,NA
"ARHGAP33",625.649749628621,0.0830992599932236,0.0787209456086845,1.05561816300205,0.291142699386635,0.705171251679571
"NDUFAB1",3119.92102582097,-0.0551866153915438,0.0740713056431222,-0.74504715304243,0.45624321495223,0.81600179960072
"PDK4",112.878800575947,0.0224597651761265,0.152266627801584,0.147502873744557,0.882735111621028,0.973573308002474
"ZMYND10",17.4014716510087,0.0130138354350688,0.36749067977457,0.0354126952091734,0.971750661748945,NA
"ARX",19.4178668718943,0.110709490344107,0.33205557364539,0.333406511231569,0.738827448814337,NA
"SLC25A13",2963.22561508734,0.00236739006651616,0.0426935403421404,0.0554507789127867,0.955779342312485,0.989699817400268
"ST7",1056.63697091465,-0.0636391402094652,0.0550640415551882,-1.15572955438955,0.247791795468233,0.67155768726978
"CDC27",5548.12211138307,-0.100656483150541,0.0494597931207067,-2.03511735087304,0.0418390665409092,0.323750428980643
"HCCS",536.945907792324,0.137468344169867,0.0744528010171365,1.84638243681693,0.0648366955468878,0.395705775305311
"DVL2",1910.0836339441,0.147760931025989,0.0459939465426725,3.21261692316179,0.00131531597738381,0.0494820091531464
