"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044282","GO:0044282","small molecule catabolic process",281,-0.501499450947491,-2.10363431844298,3.82857903896407e-12,2.97786877650625e-08,2.68846850199256e-08,2887,"tags=36%, list=15%, signal=31%","ENSG00000122971/ENSG00000196177/ENSG00000127884/ENSG00000108479/ENSG00000197894/ENSG00000097021/ENSG00000089250/ENSG00000135821/ENSG00000171174/ENSG00000196839/ENSG00000065154/ENSG00000025423/ENSG00000159231/ENSG00000166816/ENSG00000242612/ENSG00000167315/ENSG00000067225/ENSG00000156017/ENSG00000142208/ENSG00000116171/ENSG00000108515/ENSG00000100116/ENSG00000164751/ENSG00000115159/ENSG00000213965/ENSG00000104325/ENSG00000083123/ENSG00000140374/ENSG00000111012/ENSG00000131844/ENSG00000120053/ENSG00000179761/ENSG00000002330/ENSG00000103066/ENSG00000104823/ENSG00000148672/ENSG00000074800/ENSG00000128039/ENSG00000072506/ENSG00000160200/ENSG00000157184/ENSG00000198130/ENSG00000162174/ENSG00000171314/ENSG00000078237/ENSG00000103150/ENSG00000154930/ENSG00000102543/ENSG00000123836/ENSG00000140876/ENSG00000119689/ENSG00000146151/ENSG00000175198/ENSG00000162882/ENSG00000159423/ENSG00000093144/ENSG00000117305/ENSG00000138796/ENSG00000132330/ENSG00000111275/ENSG00000112357/ENSG00000149313/ENSG00000132541/ENSG00000114054/ENSG00000107537/ENSG00000156521/ENSG00000141568/ENSG00000111674/ENSG00000115361/ENSG00000176974/ENSG00000023697/ENSG00000165609/ENSG00000067057/ENSG00000183032/ENSG00000198814/ENSG00000151552/ENSG00000007171/ENSG00000130203/ENSG00000117054/ENSG00000176715/ENSG00000109576/ENSG00000103485/ENSG00000100889/ENSG00000274276/ENSG00000169738/ENSG00000130766/ENSG00000129187/ENSG00000141959/ENSG00000185950/ENSG00000102032/ENSG00000110090/ENSG00000156515/ENSG00000149476/ENSG00000166123/ENSG00000102910/ENSG00000139684/ENSG00000141510/ENSG00000198075/ENSG00000112294/ENSG00000244509/ENSG00000125166"
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process",78,-0.669855500299012,-2.39427915331749,1.76344667040522e-10,6.85804410120589e-07,6.19155407277537e-07,2668,"tags=46%, list=14%, signal=40%","ENSG00000135821/ENSG00000065154/ENSG00000114021/ENSG00000100714/ENSG00000138413/ENSG00000115042/ENSG00000197444/ENSG00000073578/ENSG00000131473/ENSG00000120053/ENSG00000148672/ENSG00000120254/ENSG00000091483/ENSG00000180902/ENSG00000133943/ENSG00000119689/ENSG00000162882/ENSG00000159423/ENSG00000173638/ENSG00000149313/ENSG00000107537/ENSG00000176974/ENSG00000172340/ENSG00000176715/ENSG00000109576/ENSG00000103485/ENSG00000100889/ENSG00000082212/ENSG00000138363/ENSG00000130707/ENSG00000142156/ENSG00000182054/ENSG00000166123/ENSG00000136143/ENSG00000112294/ENSG00000125166"
"GO:0044248","GO:0044248","cellular catabolic process",254,-0.458688462292119,-1.90766853282527,2.32019187383513e-08,6.01548413156322e-05,5.43087718959796e-05,2887,"tags=33%, list=15%, signal=28%","ENSG00000122971/ENSG00000196177/ENSG00000127884/ENSG00000097021/ENSG00000089250/ENSG00000135821/ENSG00000065154/ENSG00000166816/ENSG00000163840/ENSG00000242612/ENSG00000167315/ENSG00000126581/ENSG00000163541/ENSG00000156017/ENSG00000087053/ENSG00000142208/ENSG00000103811/ENSG00000116171/ENSG00000159640/ENSG00000100116/ENSG00000164751/ENSG00000213965/ENSG00000104325/ENSG00000083123/ENSG00000140374/ENSG00000131844/ENSG00000120053/ENSG00000179761/ENSG00000103066/ENSG00000104823/ENSG00000148672/ENSG00000072506/ENSG00000160200/ENSG00000157184/ENSG00000198130/ENSG00000162174/ENSG00000089177/ENSG00000108784/ENSG00000103150/ENSG00000140876/ENSG00000119689/ENSG00000146151/ENSG00000175198/ENSG00000162882/ENSG00000159423/ENSG00000093144/ENSG00000117305/ENSG00000138796/ENSG00000132330/ENSG00000112357/ENSG00000169919/ENSG00000149313/ENSG00000196549/ENSG00000132541/ENSG00000114054/ENSG00000107537/ENSG00000156521/ENSG00000115361/ENSG00000176974/ENSG00000104324/ENSG00000183032/ENSG00000151552/ENSG00000172340/ENSG00000007171/ENSG00000130203/ENSG00000117054/ENSG00000176715/ENSG00000109576/ENSG00000103485/ENSG00000100889/ENSG00000274276/ENSG00000169738/ENSG00000130766/ENSG00000185950/ENSG00000102032/ENSG00000110090/ENSG00000014216/ENSG00000166123/ENSG00000105329/ENSG00000136143/ENSG00000102910/ENSG00000112294/ENSG00000125166"
"GO:0006734","GO:0006734","NADH metabolic process",36,-0.751121123159273,-2.32674186912312,2.41187818736911e-07,0.000202606121361614,0.000182916110974723,1818,"tags=44%, list=10%, signal=40%","ENSG00000108515/ENSG00000115159/ENSG00000120053/ENSG00000074800/ENSG00000171314/ENSG00000112874/ENSG00000141568/ENSG00000111674/ENSG00000177542/ENSG00000067057/ENSG00000100889/ENSG00000141959/ENSG00000156515/ENSG00000004864/ENSG00000181019/ENSG00000125166"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process",147,-0.518176210513582,-2.00053508558116,1.96506159438859e-07,0.000202606121361614,0.000182916110974723,2073,"tags=31%, list=11%, signal=28%","ENSG00000147813/ENSG00000197444/ENSG00000126432/ENSG00000108515/ENSG00000160326/ENSG00000115159/ENSG00000154803/ENSG00000120053/ENSG00000074800/ENSG00000106733/ENSG00000138496/ENSG00000171314/ENSG00000078237/ENSG00000111640/ENSG00000112874/ENSG00000115129/ENSG00000123836/ENSG00000130313/ENSG00000162882/ENSG00000173614/ENSG00000129993/ENSG00000108262/ENSG00000112992/ENSG00000181192/ENSG00000141568/ENSG00000168209/ENSG00000111674/ENSG00000197713/ENSG00000023697/ENSG00000177542/ENSG00000067057/ENSG00000213995/ENSG00000103485/ENSG00000100889/ENSG00000082212/ENSG00000169738/ENSG00000142156/ENSG00000142192/ENSG00000141959/ENSG00000161513/ENSG00000156515/ENSG00000004864/ENSG00000182054/ENSG00000181019/ENSG00000141510/ENSG00000125166"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process",147,-0.518176210513582,-2.00053508558116,1.96506159438859e-07,0.000202606121361614,0.000182916110974723,2073,"tags=31%, list=11%, signal=28%","ENSG00000147813/ENSG00000197444/ENSG00000126432/ENSG00000108515/ENSG00000160326/ENSG00000115159/ENSG00000154803/ENSG00000120053/ENSG00000074800/ENSG00000106733/ENSG00000138496/ENSG00000171314/ENSG00000078237/ENSG00000111640/ENSG00000112874/ENSG00000115129/ENSG00000123836/ENSG00000130313/ENSG00000162882/ENSG00000173614/ENSG00000129993/ENSG00000108262/ENSG00000112992/ENSG00000181192/ENSG00000141568/ENSG00000168209/ENSG00000111674/ENSG00000197713/ENSG00000023697/ENSG00000177542/ENSG00000067057/ENSG00000213995/ENSG00000103485/ENSG00000100889/ENSG00000082212/ENSG00000169738/ENSG00000142156/ENSG00000142192/ENSG00000141959/ENSG00000161513/ENSG00000156515/ENSG00000004864/ENSG00000182054/ENSG00000181019/ENSG00000141510/ENSG00000125166"
"GO:0016054","GO:0016054","organic acid catabolic process",192,-0.477799624331363,-1.91517245218246,2.60486142146585e-07,0.000202606121361614,0.000182916110974723,1785,"tags=35%, list=9%, signal=32%","ENSG00000122971/ENSG00000196177/ENSG00000127884/ENSG00000097021/ENSG00000089250/ENSG00000135821/ENSG00000065154/ENSG00000166816/ENSG00000242612/ENSG00000167315/ENSG00000156017/ENSG00000142208/ENSG00000116171/ENSG00000100116/ENSG00000164751/ENSG00000213965/ENSG00000104325/ENSG00000083123/ENSG00000140374/ENSG00000131844/ENSG00000120053/ENSG00000179761/ENSG00000103066/ENSG00000104823/ENSG00000148672/ENSG00000072506/ENSG00000160200/ENSG00000157184/ENSG00000198130/ENSG00000162174/ENSG00000103150/ENSG00000140876/ENSG00000119689/ENSG00000146151/ENSG00000175198/ENSG00000162882/ENSG00000159423/ENSG00000093144/ENSG00000117305/ENSG00000138796/ENSG00000132330/ENSG00000112357/ENSG00000149313/ENSG00000132541/ENSG00000114054/ENSG00000107537/ENSG00000156521/ENSG00000115361/ENSG00000176974/ENSG00000183032/ENSG00000151552/ENSG00000007171/ENSG00000117054/ENSG00000176715/ENSG00000109576/ENSG00000103485/ENSG00000100889/ENSG00000274276/ENSG00000169738/ENSG00000130766/ENSG00000185950/ENSG00000102032/ENSG00000110090/ENSG00000166123/ENSG00000102910/ENSG00000112294/ENSG00000125166"
"GO:0046395","GO:0046395","carboxylic acid catabolic process",192,-0.477799624331363,-1.91517245218246,2.60486142146585e-07,0.000202606121361614,0.000182916110974723,1785,"tags=35%, list=9%, signal=32%","ENSG00000122971/ENSG00000196177/ENSG00000127884/ENSG00000097021/ENSG00000089250/ENSG00000135821/ENSG00000065154/ENSG00000166816/ENSG00000242612/ENSG00000167315/ENSG00000156017/ENSG00000142208/ENSG00000116171/ENSG00000100116/ENSG00000164751/ENSG00000213965/ENSG00000104325/ENSG00000083123/ENSG00000140374/ENSG00000131844/ENSG00000120053/ENSG00000179761/ENSG00000103066/ENSG00000104823/ENSG00000148672/ENSG00000072506/ENSG00000160200/ENSG00000157184/ENSG00000198130/ENSG00000162174/ENSG00000103150/ENSG00000140876/ENSG00000119689/ENSG00000146151/ENSG00000175198/ENSG00000162882/ENSG00000159423/ENSG00000093144/ENSG00000117305/ENSG00000138796/ENSG00000132330/ENSG00000112357/ENSG00000149313/ENSG00000132541/ENSG00000114054/ENSG00000107537/ENSG00000156521/ENSG00000115361/ENSG00000176974/ENSG00000183032/ENSG00000151552/ENSG00000007171/ENSG00000117054/ENSG00000176715/ENSG00000109576/ENSG00000103485/ENSG00000100889/ENSG00000274276/ENSG00000169738/ENSG00000130766/ENSG00000185950/ENSG00000102032/ENSG00000110090/ENSG00000166123/ENSG00000102910/ENSG00000112294/ENSG00000125166"
"GO:0006520","GO:0006520","amino acid metabolic process",219,-0.462165677008528,-1.89107775370983,1.52298651140175e-07,0.000202606121361614,0.000182916110974723,2907,"tags=38%, list=15%, signal=33%","ENSG00000116120/ENSG00000269858/ENSG00000196177/ENSG00000127884/ENSG00000175567/ENSG00000089250/ENSG00000135821/ENSG00000065154/ENSG00000143811/ENSG00000114021/ENSG00000124299/ENSG00000134440/ENSG00000116761/ENSG00000100714/ENSG00000147100/ENSG00000182551/ENSG00000130764/ENSG00000060982/ENSG00000031698/ENSG00000156017/ENSG00000104044/ENSG00000011376/ENSG00000162396/ENSG00000100983/ENSG00000150787/ENSG00000100116/ENSG00000083123/ENSG00000164300/ENSG00000099810/ENSG00000092621/ENSG00000104835/ENSG00000140374/ENSG00000185818/ENSG00000177181/ENSG00000131844/ENSG00000120053/ENSG00000179761/ENSG00000132570/ENSG00000113407/ENSG00000059691/ENSG00000135069/ENSG00000148672/ENSG00000115866/ENSG00000072506/ENSG00000160200/ENSG00000091483/ENSG00000198130/ENSG00000162174/ENSG00000145293/ENSG00000149089/ENSG00000133943/ENSG00000119689/ENSG00000146151/ENSG00000175198/ENSG00000162882/ENSG00000159423/ENSG00000117305/ENSG00000140105/ENSG00000132330/ENSG00000182199/ENSG00000128272/ENSG00000117593/ENSG00000090861/ENSG00000070669/ENSG00000146733/ENSG00000149313/ENSG00000132541/ENSG00000114054/ENSG00000134684/ENSG00000176974/ENSG00000134905/ENSG00000137274/ENSG00000183032/ENSG00000151552/ENSG00000007171/ENSG00000109576/ENSG00000274276/ENSG00000146282/ENSG00000130707/ENSG00000086475/ENSG00000166123/ENSG00000065427/ENSG00000112294/ENSG00000125166"
"GO:0048514","GO:0048514","blood vessel morphogenesis",477,0.403073445327749,1.71106180273598,1.05819268196799e-07,0.000202606121361614,0.000182916110974723,2528,"tags=28%, list=13%, signal=25%","ENSG00000145147/ENSG00000148848/ENSG00000135046/ENSG00000136574/ENSG00000063245/ENSG00000152270/ENSG00000170558/ENSG00000104332/ENSG00000077782/ENSG00000058668/ENSG00000136999/ENSG00000165168/ENSG00000137693/ENSG00000179348/ENSG00000106031/ENSG00000074842/ENSG00000145423/ENSG00000150093/ENSG00000069667/ENSG00000102755/ENSG00000163513/ENSG00000162434/ENSG00000077463/ENSG00000100292/ENSG00000099250/ENSG00000131845/ENSG00000105991/ENSG00000114209/ENSG00000124766/ENSG00000143878/ENSG00000169855/ENSG00000170365/ENSG00000021645/ENSG00000105419/ENSG00000092969/ENSG00000150630/ENSG00000168542/ENSG00000161671/ENSG00000113083/ENSG00000101346/ENSG00000169418/ENSG00000135048/ENSG00000105855/ENSG00000172889/ENSG00000105287/ENSG00000166292/ENSG00000182718/ENSG00000000005/ENSG00000106025/ENSG00000102678/ENSG00000105429/ENSG00000135766/ENSG00000161999/ENSG00000007968/ENSG00000145632/ENSG00000064300/ENSG00000170989/ENSG00000104313/ENSG00000166025/ENSG00000159216/ENSG00000118257/ENSG00000115414/ENSG00000173376/ENSG00000169330/ENSG00000163382/ENSG00000132170/ENSG00000173083/ENSG00000106392/ENSG00000117525/ENSG00000152661/ENSG00000136826/ENSG00000173706/ENSG00000120093/ENSG00000171223/ENSG00000127329/ENSG00000100644/ENSG00000070495/ENSG00000092421/ENSG00000010810/ENSG00000184937/ENSG00000170381/ENSG00000182871/ENSG00000161638/ENSG00000134013/ENSG00000051382/ENSG00000116016/ENSG00000133216/ENSG00000137801/ENSG00000134250/ENSG00000151617/ENSG00000074219/ENSG00000153560/ENSG00000020181/ENSG00000006327/ENSG00000164619/ENSG00000165757/ENSG00000143537/ENSG00000213853/ENSG00000174804/ENSG00000126778/ENSG00000120899/ENSG00000173402/ENSG00000114315/ENSG00000109458/ENSG00000115170/ENSG00000184113/ENSG00000179388/ENSG00000138795/ENSG00000134853/ENSG00000154188/ENSG00000182963/ENSG00000185359/ENSG00000240583/ENSG00000154928/ENSG00000106688/ENSG00000121966/ENSG00000126458/ENSG00000109756/ENSG00000154305/ENSG00000100147/ENSG00000166086/ENSG00000030582/ENSG00000184481/ENSG00000197405/ENSG00000138639/ENSG00000169946/ENSG00000164442/ENSG00000177283/ENSG00000138792/ENSG00000011405/ENSG00000164532/ENSG00000219438/ENSG00000196411"
