"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0048514","GO:0048514","blood vessel morphogenesis",477,0.418548814745529,1.87747354552123,3.09382218668857e-11,2.40637489680637e-07,2.03931731926777e-07,2265,"tags=26%, list=12%, signal=24%","ENSG00000148848/ENSG00000145147/ENSG00000197702/ENSG00000114209/ENSG00000135046/ENSG00000179348/ENSG00000076706/ENSG00000150630/ENSG00000092969/ENSG00000102755/ENSG00000145632/ENSG00000099250/ENSG00000129991/ENSG00000184937/ENSG00000021645/ENSG00000145423/ENSG00000102678/ENSG00000106025/ENSG00000101346/ENSG00000137693/ENSG00000136999/ENSG00000136826/ENSG00000150093/ENSG00000170365/ENSG00000104332/ENSG00000169429/ENSG00000170558/ENSG00000105855/ENSG00000006327/ENSG00000135048/ENSG00000116016/ENSG00000030582/ENSG00000152270/ENSG00000118257/ENSG00000138061/ENSG00000007968/ENSG00000143878/ENSG00000163382/ENSG00000016082/ENSG00000161999/ENSG00000100644/ENSG00000182718/ENSG00000138448/ENSG00000086062/ENSG00000163513/ENSG00000064012/ENSG00000124766/ENSG00000166501/ENSG00000131669/ENSG00000114315/ENSG00000173706/ENSG00000182871/ENSG00000118503/ENSG00000173402/ENSG00000069667/ENSG00000140199/ENSG00000121966/ENSG00000117461/ENSG00000105997/ENSG00000123384/ENSG00000051382/ENSG00000114251/ENSG00000184481/ENSG00000122691/ENSG00000118523/ENSG00000127329/ENSG00000101384/ENSG00000138798/ENSG00000164532/ENSG00000109670/ENSG00000148053/ENSG00000173376/ENSG00000064300/ENSG00000112531/ENSG00000116717/ENSG00000184113/ENSG00000097007/ENSG00000023191/ENSG00000160691/ENSG00000103811/ENSG00000101230/ENSG00000120093/ENSG00000152661/ENSG00000136235/ENSG00000115415/ENSG00000136280/ENSG00000135766/ENSG00000154188/ENSG00000142871/ENSG00000170989/ENSG00000100147/ENSG00000142627/ENSG00000116678/ENSG00000074181/ENSG00000147649/ENSG00000140545/ENSG00000133216/ENSG00000113083/ENSG00000117525/ENSG00000106004/ENSG00000151617/ENSG00000137801/ENSG00000111961/ENSG00000198959/ENSG00000165757/ENSG00000073756/ENSG00000196411/ENSG00000114019/ENSG00000134250/ENSG00000010810/ENSG00000125779/ENSG00000136574/ENSG00000085741/ENSG00000159184/ENSG00000138639/ENSG00000162434/ENSG00000132329/ENSG00000115170/ENSG00000106392/ENSG00000105991/ENSG00000116044/ENSG00000132170/ENSG00000154305/ENSG00000166025/ENSG00000177283/ENSG00000169946"
"GO:0001525","GO:0001525","angiogenesis",407,0.427306798086478,1.87732513321411,1.87126131672917e-10,7.27733526075973e-07,6.16728335018845e-07,2196,"tags=27%, list=12%, signal=25%","ENSG00000148848/ENSG00000145147/ENSG00000197702/ENSG00000114209/ENSG00000135046/ENSG00000179348/ENSG00000076706/ENSG00000150630/ENSG00000092969/ENSG00000102755/ENSG00000145632/ENSG00000099250/ENSG00000021645/ENSG00000145423/ENSG00000102678/ENSG00000106025/ENSG00000101346/ENSG00000136999/ENSG00000136826/ENSG00000150093/ENSG00000170365/ENSG00000104332/ENSG00000169429/ENSG00000105855/ENSG00000006327/ENSG00000135048/ENSG00000116016/ENSG00000030582/ENSG00000152270/ENSG00000118257/ENSG00000138061/ENSG00000007968/ENSG00000143878/ENSG00000163382/ENSG00000016082/ENSG00000161999/ENSG00000100644/ENSG00000182718/ENSG00000138448/ENSG00000086062/ENSG00000163513/ENSG00000064012/ENSG00000166501/ENSG00000131669/ENSG00000182871/ENSG00000118503/ENSG00000173402/ENSG00000069667/ENSG00000140199/ENSG00000121966/ENSG00000117461/ENSG00000105997/ENSG00000051382/ENSG00000114251/ENSG00000184481/ENSG00000122691/ENSG00000118523/ENSG00000127329/ENSG00000101384/ENSG00000138798/ENSG00000164532/ENSG00000109670/ENSG00000173376/ENSG00000064300/ENSG00000112531/ENSG00000116717/ENSG00000184113/ENSG00000097007/ENSG00000023191/ENSG00000160691/ENSG00000103811/ENSG00000101230/ENSG00000120093/ENSG00000136235/ENSG00000115415/ENSG00000136280/ENSG00000135766/ENSG00000154188/ENSG00000142871/ENSG00000170989/ENSG00000100147/ENSG00000142627/ENSG00000116678/ENSG00000074181/ENSG00000147649/ENSG00000140545/ENSG00000133216/ENSG00000117525/ENSG00000106004/ENSG00000151617/ENSG00000137801/ENSG00000111961/ENSG00000198959/ENSG00000165757/ENSG00000073756/ENSG00000196411/ENSG00000114019/ENSG00000134250/ENSG00000010810/ENSG00000125779/ENSG00000136574/ENSG00000159184/ENSG00000138639/ENSG00000162434/ENSG00000132329/ENSG00000115170/ENSG00000106392/ENSG00000116044/ENSG00000132170/ENSG00000154305/ENSG00000166025"
"GO:0006397","GO:0006397","mRNA processing",452,-0.456484030187627,-1.87007180218136,8.25762169690515e-10,2.14092605195094e-06,1.81435884442176e-06,4209,"tags=37%, list=22%, signal=30%","ENSG00000136270/ENSG00000131051/ENSG00000164329/ENSG00000129317/ENSG00000130332/ENSG00000134597/ENSG00000132680/ENSG00000054118/ENSG00000100982/ENSG00000140939/ENSG00000240682/ENSG00000121058/ENSG00000138376/ENSG00000142528/ENSG00000113391/ENSG00000102241/ENSG00000141425/ENSG00000108561/ENSG00000137200/ENSG00000143368/ENSG00000101413/ENSG00000112081/ENSG00000117616/ENSG00000141759/ENSG00000182872/ENSG00000063244/ENSG00000061273/ENSG00000143889/ENSG00000113649/ENSG00000070756/ENSG00000100410/ENSG00000165630/ENSG00000142252/ENSG00000160633/ENSG00000164663/ENSG00000185122/ENSG00000240344/ENSG00000117360/ENSG00000136527/ENSG00000127804/ENSG00000064703/ENSG00000137656/ENSG00000110107/ENSG00000115053/ENSG00000164548/ENSG00000153015/ENSG00000153914/ENSG00000183684/ENSG00000006712/ENSG00000137168/ENSG00000146007/ENSG00000099889/ENSG00000096401/ENSG00000134371/ENSG00000198783/ENSG00000104897/ENSG00000185946/ENSG00000169813/ENSG00000135316/ENSG00000074356/ENSG00000116560/ENSG00000123136/ENSG00000105705/ENSG00000168566/ENSG00000168710/ENSG00000109536/ENSG00000205571/ENSG00000166831/ENSG00000120948/ENSG00000182173/ENSG00000125743/ENSG00000046647/ENSG00000168438/ENSG00000136450/ENSG00000096063/ENSG00000185650/ENSG00000075856/ENSG00000134186/ENSG00000165494/ENSG00000135486/ENSG00000125944/ENSG00000112739/ENSG00000172062/ENSG00000203867/ENSG00000173933/ENSG00000071626/ENSG00000153006/ENSG00000077312/ENSG00000101654/ENSG00000088247/ENSG00000104859/ENSG00000092199/ENSG00000111605/ENSG00000188529/ENSG00000128534/ENSG00000126461/ENSG00000157540/ENSG00000111196/ENSG00000099783/ENSG00000108349/ENSG00000196504/ENSG00000021776/ENSG00000204272/ENSG00000105618/ENSG00000183431/ENSG00000170892/ENSG00000116350/ENSG00000011304/ENSG00000111786/ENSG00000164985/ENSG00000159140/ENSG00000145216/ENSG00000147274/ENSG00000163694/ENSG00000183258/ENSG00000168883/ENSG00000164167/ENSG00000100201/ENSG00000165832/ENSG00000153187/ENSG00000170144/ENSG00000122566/ENSG00000132792/ENSG00000119953/ENSG00000104824/ENSG00000099622/ENSG00000134748/ENSG00000121774/ENSG00000185246/ENSG00000139793/ENSG00000100028/ENSG00000185272/ENSG00000167088/ENSG00000265241/ENSG00000105323/ENSG00000096746/ENSG00000147140/ENSG00000132485/ENSG00000134453/ENSG00000104852/ENSG00000116754/ENSG00000076770/ENSG00000071894/ENSG00000197381/ENSG00000074201/ENSG00000100941/ENSG00000108848/ENSG00000064607/ENSG00000160201/ENSG00000120688/ENSG00000079134/ENSG00000160208/ENSG00000005007/ENSG00000125755/ENSG00000167281/ENSG00000169062/ENSG00000123200/ENSG00000180917/ENSG00000140830/ENSG00000159086/ENSG00000154548/ENSG00000121274/ENSG00000103067/ENSG00000132600/ENSG00000140829/ENSG00000134884/ENSG00000167005/ENSG00000189091"
"GO:0030855","GO:0030855","epithelial cell differentiation",500,0.389405230608345,1.7536395290916,1.75549845383583e-09,3.41356674348377e-06,2.89287666261052e-06,2492,"tags=28%, list=13%, signal=25%","ENSG00000163430/ENSG00000176788/ENSG00000125845/ENSG00000135046/ENSG00000179348/ENSG00000159167/ENSG00000163347/ENSG00000026025/ENSG00000197746/ENSG00000092969/ENSG00000213694/ENSG00000147883/ENSG00000153071/ENSG00000099250/ENSG00000127252/ENSG00000184937/ENSG00000120075/ENSG00000165556/ENSG00000137693/ENSG00000126821/ENSG00000136826/ENSG00000075426/ENSG00000082641/ENSG00000151490/ENSG00000115616/ENSG00000136603/ENSG00000118898/ENSG00000150457/ENSG00000170558/ENSG00000170577/ENSG00000158710/ENSG00000079999/ENSG00000265972/ENSG00000131981/ENSG00000134202/ENSG00000116016/ENSG00000151090/ENSG00000104763/ENSG00000109107/ENSG00000168615/ENSG00000100644/ENSG00000149418/ENSG00000086062/ENSG00000027075/ENSG00000124766/ENSG00000139515/ENSG00000157423/ENSG00000106397/ENSG00000114315/ENSG00000173706/ENSG00000157240/ENSG00000072778/ENSG00000151748/ENSG00000182871/ENSG00000018408/ENSG00000124762/ENSG00000121966/ENSG00000164733/ENSG00000105976/ENSG00000120149/ENSG00000007372/ENSG00000114251/ENSG00000147862/ENSG00000012232/ENSG00000134317/ENSG00000162998/ENSG00000144802/ENSG00000101384/ENSG00000128016/ENSG00000182197/ENSG00000095397/ENSG00000082175/ENSG00000122641/ENSG00000204217/ENSG00000184113/ENSG00000120756/ENSG00000135111/ENSG00000097007/ENSG00000221926/ENSG00000245848/ENSG00000137090/ENSG00000178209/ENSG00000159307/ENSG00000178568/ENSG00000081189/ENSG00000152661/ENSG00000180535/ENSG00000185668/ENSG00000115415/ENSG00000136280/ENSG00000185022/ENSG00000140465/ENSG00000131759/ENSG00000164251/ENSG00000170989/ENSG00000142627/ENSG00000002745/ENSG00000164056/ENSG00000135414/ENSG00000006377/ENSG00000132510/ENSG00000197063/ENSG00000106004/ENSG00000151617/ENSG00000196591/ENSG00000204103/ENSG00000155760/ENSG00000111424/ENSG00000186716/ENSG00000114019/ENSG00000128311/ENSG00000164093/ENSG00000134250/ENSG00000198369/ENSG00000136574/ENSG00000138814/ENSG00000085741/ENSG00000159184/ENSG00000169032/ENSG00000149591/ENSG00000117318/ENSG00000115170/ENSG00000106392/ENSG00000134852/ENSG00000132170/ENSG00000116285/ENSG00000136842/ENSG00000162493/ENSG00000171956/ENSG00000158669/ENSG00000107798/ENSG00000165215/ENSG00000078237/ENSG00000033867/ENSG00000124253/ENSG00000105426/ENSG00000142731/ENSG00000165272/ENSG00000242866/ENSG00000078902/ENSG00000077092"
"GO:0009101","GO:0009101","glycoprotein biosynthetic process",256,0.462004950499859,1.96578039376342,7.08487554159252e-09,9.18436032708444e-06,7.78341941078112e-06,2924,"tags=42%, list=16%, signal=36%","ENSG00000173950/ENSG00000154080/ENSG00000198108/ENSG00000179104/ENSG00000111885/ENSG00000113532/ENSG00000101346/ENSG00000136542/ENSG00000171302/ENSG00000249853/ENSG00000113070/ENSG00000103489/ENSG00000143641/ENSG00000153976/ENSG00000111817/ENSG00000157593/ENSG00000129562/ENSG00000187676/ENSG00000171310/ENSG00000169105/ENSG00000112893/ENSG00000130714/ENSG00000160408/ENSG00000124302/ENSG00000175040/ENSG00000244038/ENSG00000086062/ENSG00000162736/ENSG00000151348/ENSG00000027847/ENSG00000106397/ENSG00000177239/ENSG00000057252/ENSG00000135916/ENSG00000164574/ENSG00000171004/ENSG00000012232/ENSG00000131446/ENSG00000163527/ENSG00000116209/ENSG00000172339/ENSG00000144647/ENSG00000182197/ENSG00000117069/ENSG00000153936/ENSG00000171155/ENSG00000175283/ENSG00000119523/ENSG00000152127/ENSG00000204217/ENSG00000147408/ENSG00000134910/ENSG00000033100/ENSG00000033011/ENSG00000144591/ENSG00000117411/ENSG00000154188/ENSG00000071073/ENSG00000118600/ENSG00000133687/ENSG00000115525/ENSG00000113384/ENSG00000176022/ENSG00000116199/ENSG00000162885/ENSG00000167130/ENSG00000080815/ENSG00000197496/ENSG00000145901/ENSG00000196371/ENSG00000085998/ENSG00000176383/ENSG00000196968/ENSG00000185900/ENSG00000138604/ENSG00000168282/ENSG00000136840/ENSG00000172986/ENSG00000102158/ENSG00000132329/ENSG00000103174/ENSG00000106392/ENSG00000181830/ENSG00000009830/ENSG00000123119/ENSG00000163902/ENSG00000158850/ENSG00000175264/ENSG00000121578/ENSG00000140650/ENSG00000136731/ENSG00000198162/ENSG00000173540/ENSG00000140557/ENSG00000115526/ENSG00000111962/ENSG00000228474/ENSG00000149541/ENSG00000187097/ENSG00000171791/ENSG00000177076/ENSG00000136720/ENSG00000070614/ENSG00000125967/ENSG00000170340/ENSG00000187446/ENSG00000115275/ENSG00000119514"
"GO:0009100","GO:0009100","glycoprotein metabolic process",313,0.441698747925971,1.91607392191311,6.02040809342579e-09,9.18436032708444e-06,7.78341941078112e-06,2924,"tags=42%, list=16%, signal=36%","ENSG00000173950/ENSG00000125845/ENSG00000135677/ENSG00000154080/ENSG00000198108/ENSG00000179104/ENSG00000111885/ENSG00000113532/ENSG00000101346/ENSG00000136542/ENSG00000163661/ENSG00000171302/ENSG00000249853/ENSG00000113070/ENSG00000103489/ENSG00000143641/ENSG00000153976/ENSG00000111817/ENSG00000157593/ENSG00000129562/ENSG00000187676/ENSG00000089597/ENSG00000171310/ENSG00000088298/ENSG00000169105/ENSG00000112893/ENSG00000100644/ENSG00000130714/ENSG00000160408/ENSG00000124302/ENSG00000175040/ENSG00000244038/ENSG00000135047/ENSG00000086062/ENSG00000162736/ENSG00000151348/ENSG00000027847/ENSG00000106397/ENSG00000177239/ENSG00000057252/ENSG00000135916/ENSG00000164574/ENSG00000160323/ENSG00000171004/ENSG00000012232/ENSG00000131446/ENSG00000163527/ENSG00000116209/ENSG00000162298/ENSG00000172339/ENSG00000144647/ENSG00000182197/ENSG00000117069/ENSG00000153936/ENSG00000171155/ENSG00000175283/ENSG00000119523/ENSG00000152127/ENSG00000204217/ENSG00000147408/ENSG00000134910/ENSG00000033100/ENSG00000033011/ENSG00000144591/ENSG00000117411/ENSG00000154188/ENSG00000071073/ENSG00000118600/ENSG00000133687/ENSG00000115525/ENSG00000113384/ENSG00000176022/ENSG00000116199/ENSG00000162885/ENSG00000101439/ENSG00000167130/ENSG00000080815/ENSG00000197496/ENSG00000145901/ENSG00000151617/ENSG00000196371/ENSG00000213614/ENSG00000085998/ENSG00000176383/ENSG00000196968/ENSG00000010404/ENSG00000185900/ENSG00000138604/ENSG00000168282/ENSG00000204308/ENSG00000136840/ENSG00000239305/ENSG00000172986/ENSG00000102158/ENSG00000132329/ENSG00000103174/ENSG00000106392/ENSG00000181830/ENSG00000009830/ENSG00000123119/ENSG00000163902/ENSG00000196562/ENSG00000158850/ENSG00000175264/ENSG00000121578/ENSG00000140650/ENSG00000136731/ENSG00000170881/ENSG00000198162/ENSG00000173540/ENSG00000049860/ENSG00000140557/ENSG00000112033/ENSG00000115526/ENSG00000145495/ENSG00000111962/ENSG00000228474/ENSG00000149541/ENSG00000187097/ENSG00000171791/ENSG00000177076/ENSG00000136720/ENSG00000070614/ENSG00000125967/ENSG00000173083/ENSG00000104774/ENSG00000170340/ENSG00000187446/ENSG00000023318/ENSG00000115275/ENSG00000119514"
"GO:0031589","GO:0031589","cell-substrate adhesion",279,0.437428265191922,1.87409083811663,4.92836401639138e-08,5.47611647421317e-05,4.64081435648764e-05,3083,"tags=33%, list=16%, signal=28%","ENSG00000064042/ENSG00000197702/ENSG00000163975/ENSG00000026508/ENSG00000091986/ENSG00000169750/ENSG00000113916/ENSG00000153071/ENSG00000099250/ENSG00000116962/ENSG00000139220/ENSG00000151490/ENSG00000197747/ENSG00000150093/ENSG00000108861/ENSG00000164318/ENSG00000152894/ENSG00000165124/ENSG00000104332/ENSG00000129244/ENSG00000105855/ENSG00000168477/ENSG00000135862/ENSG00000168615/ENSG00000182718/ENSG00000138448/ENSG00000108821/ENSG00000198910/ENSG00000152377/ENSG00000144824/ENSG00000173402/ENSG00000158813/ENSG00000137834/ENSG00000160323/ENSG00000051382/ENSG00000164885/ENSG00000118523/ENSG00000169896/ENSG00000065618/ENSG00000080573/ENSG00000111859/ENSG00000091409/ENSG00000101384/ENSG00000164877/ENSG00000082781/ENSG00000149930/ENSG00000173376/ENSG00000097007/ENSG00000124145/ENSG00000185624/ENSG00000154188/ENSG00000142871/ENSG00000114646/ENSG00000169604/ENSG00000137801/ENSG00000155760/ENSG00000186716/ENSG00000087077/ENSG00000135424/ENSG00000129474/ENSG00000162804/ENSG00000266028/ENSG00000162493/ENSG00000154928/ENSG00000171862/ENSG00000159840/ENSG00000187678/ENSG00000112033/ENSG00000164620/ENSG00000242866/ENSG00000141503/ENSG00000204580/ENSG00000107140/ENSG00000172638/ENSG00000154175/ENSG00000171791/ENSG00000177076/ENSG00000182580/ENSG00000197467/ENSG00000166086/ENSG00000137076/ENSG00000089159/ENSG00000173083/ENSG00000077943/ENSG00000140092/ENSG00000138660/ENSG00000090020/ENSG00000107104/ENSG00000128652/ENSG00000184349/ENSG00000167193/ENSG00000185043"
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions",289,-0.477001516992872,-1.88119321195193,7.70516296818475e-08,7.49134469581763e-05,6.34864875089117e-05,4120,"tags=39%, list=22%, signal=31%","ENSG00000130332/ENSG00000134597/ENSG00000132680/ENSG00000054118/ENSG00000140939/ENSG00000240682/ENSG00000121058/ENSG00000113391/ENSG00000102241/ENSG00000108561/ENSG00000143368/ENSG00000112081/ENSG00000117616/ENSG00000141759/ENSG00000182872/ENSG00000063244/ENSG00000070756/ENSG00000100410/ENSG00000165630/ENSG00000142252/ENSG00000164663/ENSG00000240344/ENSG00000117360/ENSG00000136527/ENSG00000127804/ENSG00000064703/ENSG00000137656/ENSG00000110107/ENSG00000115053/ENSG00000164548/ENSG00000153015/ENSG00000137168/ENSG00000146007/ENSG00000096401/ENSG00000104897/ENSG00000185946/ENSG00000169813/ENSG00000135316/ENSG00000116560/ENSG00000123136/ENSG00000109536/ENSG00000205571/ENSG00000166831/ENSG00000125743/ENSG00000046647/ENSG00000168438/ENSG00000136450/ENSG00000096063/ENSG00000075856/ENSG00000135486/ENSG00000125944/ENSG00000112739/ENSG00000172062/ENSG00000203867/ENSG00000173933/ENSG00000071626/ENSG00000077312/ENSG00000088247/ENSG00000092199/ENSG00000188529/ENSG00000128534/ENSG00000157540/ENSG00000111196/ENSG00000099783/ENSG00000108349/ENSG00000196504/ENSG00000021776/ENSG00000105618/ENSG00000183431/ENSG00000116350/ENSG00000011304/ENSG00000111786/ENSG00000164985/ENSG00000159140/ENSG00000147274/ENSG00000163694/ENSG00000183258/ENSG00000168883/ENSG00000164167/ENSG00000100201/ENSG00000153187/ENSG00000170144/ENSG00000122566/ENSG00000132792/ENSG00000119953/ENSG00000104824/ENSG00000099622/ENSG00000134748/ENSG00000121774/ENSG00000185246/ENSG00000100028/ENSG00000185272/ENSG00000167088/ENSG00000265241/ENSG00000105323/ENSG00000096746/ENSG00000134453/ENSG00000104852/ENSG00000074201/ENSG00000100941/ENSG00000108848/ENSG00000160201/ENSG00000120688/ENSG00000005007/ENSG00000167281/ENSG00000169062/ENSG00000140830/ENSG00000159086/ENSG00000154548/ENSG00000103067/ENSG00000132600/ENSG00000140829/ENSG00000134884/ENSG00000189091"
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",285,-0.475622035391617,-1.87406397759239,1.55542480621613e-07,8.58732391032984e-05,7.27745223727997e-05,4120,"tags=39%, list=22%, signal=31%","ENSG00000130332/ENSG00000134597/ENSG00000132680/ENSG00000054118/ENSG00000140939/ENSG00000240682/ENSG00000121058/ENSG00000113391/ENSG00000102241/ENSG00000108561/ENSG00000143368/ENSG00000112081/ENSG00000117616/ENSG00000141759/ENSG00000182872/ENSG00000063244/ENSG00000070756/ENSG00000100410/ENSG00000165630/ENSG00000142252/ENSG00000164663/ENSG00000240344/ENSG00000117360/ENSG00000136527/ENSG00000127804/ENSG00000064703/ENSG00000137656/ENSG00000110107/ENSG00000115053/ENSG00000164548/ENSG00000153015/ENSG00000137168/ENSG00000146007/ENSG00000096401/ENSG00000104897/ENSG00000185946/ENSG00000169813/ENSG00000135316/ENSG00000116560/ENSG00000123136/ENSG00000109536/ENSG00000205571/ENSG00000166831/ENSG00000125743/ENSG00000046647/ENSG00000168438/ENSG00000136450/ENSG00000096063/ENSG00000075856/ENSG00000135486/ENSG00000125944/ENSG00000112739/ENSG00000172062/ENSG00000203867/ENSG00000173933/ENSG00000071626/ENSG00000077312/ENSG00000092199/ENSG00000188529/ENSG00000128534/ENSG00000157540/ENSG00000111196/ENSG00000099783/ENSG00000108349/ENSG00000196504/ENSG00000021776/ENSG00000105618/ENSG00000183431/ENSG00000116350/ENSG00000011304/ENSG00000111786/ENSG00000164985/ENSG00000159140/ENSG00000147274/ENSG00000163694/ENSG00000183258/ENSG00000168883/ENSG00000164167/ENSG00000100201/ENSG00000153187/ENSG00000170144/ENSG00000122566/ENSG00000132792/ENSG00000104824/ENSG00000099622/ENSG00000134748/ENSG00000121774/ENSG00000185246/ENSG00000100028/ENSG00000185272/ENSG00000167088/ENSG00000265241/ENSG00000105323/ENSG00000096746/ENSG00000134453/ENSG00000104852/ENSG00000074201/ENSG00000100941/ENSG00000108848/ENSG00000160201/ENSG00000120688/ENSG00000005007/ENSG00000167281/ENSG00000169062/ENSG00000140830/ENSG00000159086/ENSG00000154548/ENSG00000103067/ENSG00000132600/ENSG00000140829/ENSG00000134884/ENSG00000189091"
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome",285,-0.475622035391617,-1.87406397759239,1.55542480621613e-07,8.58732391032984e-05,7.27745223727997e-05,4120,"tags=39%, list=22%, signal=31%","ENSG00000130332/ENSG00000134597/ENSG00000132680/ENSG00000054118/ENSG00000140939/ENSG00000240682/ENSG00000121058/ENSG00000113391/ENSG00000102241/ENSG00000108561/ENSG00000143368/ENSG00000112081/ENSG00000117616/ENSG00000141759/ENSG00000182872/ENSG00000063244/ENSG00000070756/ENSG00000100410/ENSG00000165630/ENSG00000142252/ENSG00000164663/ENSG00000240344/ENSG00000117360/ENSG00000136527/ENSG00000127804/ENSG00000064703/ENSG00000137656/ENSG00000110107/ENSG00000115053/ENSG00000164548/ENSG00000153015/ENSG00000137168/ENSG00000146007/ENSG00000096401/ENSG00000104897/ENSG00000185946/ENSG00000169813/ENSG00000135316/ENSG00000116560/ENSG00000123136/ENSG00000109536/ENSG00000205571/ENSG00000166831/ENSG00000125743/ENSG00000046647/ENSG00000168438/ENSG00000136450/ENSG00000096063/ENSG00000075856/ENSG00000135486/ENSG00000125944/ENSG00000112739/ENSG00000172062/ENSG00000203867/ENSG00000173933/ENSG00000071626/ENSG00000077312/ENSG00000092199/ENSG00000188529/ENSG00000128534/ENSG00000157540/ENSG00000111196/ENSG00000099783/ENSG00000108349/ENSG00000196504/ENSG00000021776/ENSG00000105618/ENSG00000183431/ENSG00000116350/ENSG00000011304/ENSG00000111786/ENSG00000164985/ENSG00000159140/ENSG00000147274/ENSG00000163694/ENSG00000183258/ENSG00000168883/ENSG00000164167/ENSG00000100201/ENSG00000153187/ENSG00000170144/ENSG00000122566/ENSG00000132792/ENSG00000104824/ENSG00000099622/ENSG00000134748/ENSG00000121774/ENSG00000185246/ENSG00000100028/ENSG00000185272/ENSG00000167088/ENSG00000265241/ENSG00000105323/ENSG00000096746/ENSG00000134453/ENSG00000104852/ENSG00000074201/ENSG00000100941/ENSG00000108848/ENSG00000160201/ENSG00000120688/ENSG00000005007/ENSG00000167281/ENSG00000169062/ENSG00000140830/ENSG00000159086/ENSG00000154548/ENSG00000103067/ENSG00000132600/ENSG00000140829/ENSG00000134884/ENSG00000189091"
