"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","hgnc_symbols","positive_hgnc","negative_hgnc"
"hsa00513","hsa00513","Various types of N-glycan biosynthesis",40,0.687859766732848,2.28061063977115,2.07947755947404e-06,0.000727817145815914,0.000619465420348583,2241,"tags=57%, list=16%, signal=49%","83539/4121/1603/4124/64377/1650/2683/11253/4245/201595/199857/85365/3703/56052/8704/11320/3073/4247/84061/6184/8703/10905/3074","CHST9/MAN1A1/DAD1/MAN2A1/CHST8/DDOST/B4GALT1/MAN1B1/MGAT1/STT3B/ALG14/ALG2/STT3A/ALG1/B4GALT2/MGAT4A/HEXA/MGAT2/MAGT1/RPN1/B4GALT3/MAN1A2/HEXB","CHST9",NA
"hsa03018","hsa03018","RNA degradation",70,-0.586916185820526,-1.99965597304706,1.97567091387195e-05,0.00292473655696762,0.00248932464848673,2486,"tags=33%, list=17%, signal=27%","56915/80153/51010/23016/2023/80349/694/51691/11157/2026/115752/25904/5214/22894/4849/118460/64282/23019/11340/23644/5211/10200/10950","EXOSC5/EDC3/EXOSC3/EXOSC7/ENO1/SKIC8/BTG1/LSM8/LSM6/ENO2/DIS3L/CNOT10/PFKP/DIS3/CNOT3/EXOSC6/TENT4B/CNOT1/EXOSC8/EDC4/PFKL/MPHOSPH6/BTG3",NA,NA
"hsa01200","hsa01200","Carbon metabolism",95,-0.535599054118125,-1.91482568811946,2.50691704882939e-05,0.00292473655696762,0.00248932464848673,2593,"tags=36%, list=18%, signal=30%","2271/8802/5162/84532/2023/3421/2597/3417/4329/2821/5160/1738/29968/6470/5723/2653/6120/2026/8801/26227/5223/2746/26275/5214/3098/4200/6472/5095/1373/84706/5211/2098/8803/2806","FH/SUCLG1/PDHB/ACSS1/ENO1/IDH3G/GAPDH/IDH1/ALDH6A1/GPI/PDHA1/DLD/PSAT1/SHMT1/PSPH/GCSH/RPE/ENO2/SUCLG2/PHGDH/PGAM1/GLUD1/HIBCH/PFKP/HK1/ME2/SHMT2/PCCA/CPS1/GPT2/PFKL/ESD/SUCLA2/GOT2",NA,NA
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction",105,0.472598524783394,1.84576631035322,5.59844946587907e-05,0.00489864328264419,0.00416937157590468,2484,"tags=40%, list=17%, signal=33%","650/3556/1271/9518/7042/3977/3576/55504/130399/51330/392255/27242/92/7048/3604/8809/1896/7852/8793/768211/4804/3624/659/3459/8744/8795/3590/3953/10220/7043/7292/9180/90/920/970/285613/656/3570/23765/58191/85480/84957","BMP2/IL1RAP/CNTFR/GDF15/TGFB2/LIFR/CXCL8/TNFRSF19/ACVR1C/TNFRSF12A/GDF6/TNFRSF21/ACVR2A/TGFBR2/TNFRSF9/IL18R1/EDA/CXCR4/TNFRSF10D/RELL1/NGFR/INHBA/BMPR2/IFNGR1/TNFSF9/TNFRSF10B/IL11RA/LEPR/GDF11/TGFB3/TNFSF4/OSMR/ACVR1/CD4/CD70/RELL2/BMP8B/IL6R/IL17RA/CXCL16/TSLP/RELT","BMP2/CNTFR/GDF15/CXCL8/TNFRSF12A/INHBA",NA
"hsa00510","hsa00510","N-Glycan biosynthesis",50,0.589513472822361,2.02520690724158,0.000144661527422044,0.0100575921478531,0.00856029647471409,2208,"tags=46%, list=15%, signal=39%","4121/1603/23193/4124/1650/2683/11253/4245/201595/199857/22845/85365/4249/3703/56052/8704/11320/57171/4247/84061/6184/8703/10905","MAN1A1/DAD1/GANAB/MAN2A1/DDOST/B4GALT1/MAN1B1/MGAT1/STT3B/ALG14/DOLK/ALG2/MGAT5/STT3A/ALG1/B4GALT2/MGAT4A/DOLPP1/MGAT2/MAGT1/RPN1/B4GALT3/MAN1A2",NA,NA
"hsa03040","hsa03040","Spliceosome",127,-0.486517213784948,-1.79541573953292,0.000172415865391768,0.0100575921478531,0.00856029647471409,3231,"tags=43%, list=23%, signal=33%","10262/6428/6100/10907/11338/10915/84844/8559/9129/6434/27339/29896/10189/51645/153527/988/8175/6633/51362/6426/55119/3178/6626/5093/3183/10772/51691/55110/4670/55660/9716/26121/10946/6429/8683/27316/10713/11157/3192/220988/56259/10285/84950/6634/6632/9939/102724594/84991/6625/7307/23350/9984/9785/23450","SF3B4/SRSF3/RP9/TXNL4A/U2AF2/TCERG1/PHF5A/PRPF18/PRPF3/TRA2B/PRPF19/TRA2A/ALYREF/PPIL1/ZMAT2/CDC5L/SF3A2/SNRPD2/CDC40/SRSF1/PRPF38B/HNRNPA1/SNRPA/PCBP1/HNRNPC/SRSF10/LSM8/MAGOHB/HNRNPM/PRPF40A/AQR/PRPF31/SF3A3/SRSF4/SRSF9/RBMX/USP39/LSM6/HNRNPU/HNRNPA3/CTNNBL1/SMNDC1/PRPF38A/SNRPD3/SNRPD1/RBM8A/U2AF1/RBM17/SNRNP70/U2AF1/U2SURP/THOC1/DHX38/SF3B3",NA,NA
"hsa00515","hsa00515","Mannose type O-glycan biosynthesis",22,0.701172094804768,2.02019777842523,0.000370930091057991,0.0162281914837871,0.0138122652328173,2327,"tags=55%, list=16%, signal=46%","10585/2683/84892/8704/10329/148789/2526/55624/84197/29954/8703/9486","POMT1/B4GALT1/POMGNT2/B4GALT2/RXYLT1/B3GALNT2/FUT4/POMGNT1/POMK/POMT2/B4GALT3/CHST10",NA,NA
"hsa00534","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",20,0.704838518588167,2.01714841770327,0.000347709328095546,0.0162281914837871,0.0138122652328173,3049,"tags=80%, list=21%, signal=63%","222537/64131/9955/2132/11285/90161/2137/2131/9653/126792/26035/26229/9394/3340/64132/9953","HS3ST5/XYLT1/HS3ST3A1/EXT2/B4GALT7/HS6ST2/EXTL3/EXT1/HS2ST1/B3GALT6/GLCE/B3GAT3/HS6ST1/NDST1/XYLT2/HS3ST3B1","HS3ST5/XYLT1",NA
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation",44,-0.611995815208436,-1.92573222698921,0.000467554615450413,0.0175259505289559,0.0149168240592317,2437,"tags=45%, list=17%, signal=38%","593/34/217/4329/3157/5019/223/1738/224/54511/10449/65985/587/586/3033/26275/64087/501/5095/197322","BCKDHA/ACADM/ALDH2/ALDH6A1/HMGCS1/OXCT1/ALDH9A1/DLD/ALDH3A2/HMGCLL1/ACAA2/AACS/BCAT2/BCAT1/HADH/HIBCH/MCCC2/ALDH7A1/PCCA/ACSF3",NA,NA
"hsa01230","hsa01230","Biosynthesis of amino acids",63,-0.551042251758166,-1.84536422672809,0.000500741443684455,0.0175259505289559,0.0149168240592317,2202,"tags=38%, list=15%, signal=32%","2023/3421/2597/3417/5832/29920/29968/6470/1491/5723/6120/2026/587/26227/586/440/5223/5214/6472/445/1373/84706/5211/2806","ENO1/IDH3G/GAPDH/IDH1/ALDH18A1/PYCR2/PSAT1/SHMT1/CTH/PSPH/RPE/ENO2/BCAT2/PHGDH/BCAT1/ASNS/PGAM1/PFKP/SHMT2/ASS1/CPS1/GPT2/PFKL/GOT2",NA,NA
