"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","hgnc_symbols","positive_hgnc","negative_hgnc"
"hsa03010","hsa03010","Ribosome",127,-0.473581306830363,-1.99340197522957,1.04324678198527e-06,0.000369309360822786,0.000283323862897052,5111,"tags=68%, list=35%, signal=45%","65005/6122/2197/29088/6152/6132/6176/6144/7311/11222/54460/6187/25873/6129/6234/55052/6181/6182/51318/6136/51116/200916/6208/6203/4736/6191/6157/6227/51373/6125/9349/6202/6150/6160/6128/6217/6210/6164/9801/6189/6168/6183/6154/6229/6165/6141/64983/6175/6133/6223/6137/6205/6188/6232/9045/6233/23521/6143/6193/6207/6124/6142/6130/6222/63875/6134/6155/6206/6224/6230/51021/55173/6146/6167/6194/6147/6235/6159/6228/6170/6156/6138/6201/51263/51081/65008","MRPL9/RPL3/FAU/MRPL15/RPL24/RPL8/RPLP1/RPL21/UBA52/MRPL3/MRPS21/RPS2/RPL36/RPL7/RPS28/MRPL20/RPLP2/MRPL12/MRPL35/RPL12/MRPS2/RPL22L1/RPS14/RPS9/RPL10A/RPS4X/RPL27A/RPS21/MRPS17/RPL5/RPL23/RPS8/MRPL23/RPL31/RPL6/RPS16/RPS15A/RPL34/MRPL19/RPS3A/RPL37A/MRPS12/RPL26/RPS24/RPL35A/RPL18/MRPL32/RPLP0/RPL9/RPS19/RPL13/RPS11/RPS3/RPS27/RPL14/RPS27A/RPL13A/RPL19/RPS5/RPS13/RPL4/RPL18A/RPL7A/RPS18/MRPL17/RPL10/RPL27/RPS12/RPS20/RPS25/MRPS16/MRPS10/RPL22/RPL37/RPS6/RPL23A/RPS29/RPL29/RPS23/RPL39/RPL30/RPL15/RPS7/MRPL30/MRPS7/MRPL1",NA,NA
"hsa00100","hsa00100","Steroid biosynthesis",19,-0.762051698688659,-2.23257779513713,5.56682575647631e-06,0.000756299885650426,0.000580212222711299,390,"tags=37%, list=3%, signal=36%","50814/1717/2222/1718/4047/6307/6713","NSDHL/DHCR7/FDFT1/DHCR24/LSS/MSMO1/SQLE",NA,"MSMO1"
"hsa00900","hsa00900","Terpenoid backbone biosynthesis",21,-0.734454460180675,-2.19187445665884,6.40932106483412e-06,0.000756299885650426,0.000580212222711299,1397,"tags=33%, list=10%, signal=30%","9453/23463/57107/39/3156/3422/3157","GGPS1/ICMT/PDSS2/ACAT2/HMGCR/IDI1/HMGCS1",NA,"HMGCS1"
"hsa04510","hsa04510","Focal adhesion",173,-0.405309448749486,-1.77747729171342,2.99901184394801e-05,0.00265412548189399,0.00203617119931207,2012,"tags=24%, list=14%, signal=21%","80310/7791/1793/894/1950/7448/1399/6714/5501/7414/5728/331/1284/5578/3912/1499/2013/572/857/3909/2012/2335/3693/5500/2885/3672/10298/53358/60/25759/5599/5881/824/3680/207/3910/3371/1280/1291/71/595","PDGFD/ZYX/DOCK1/CCND2/EGF/VTN/CRKL/SRC/PPP1CC/VCL/PTEN/XIAP/COL4A2/PRKCA/LAMB1/CTNNB1/EMP2/BAD/CAV1/LAMA3/EMP1/FN1/ITGB5/PPP1CB/GRB2/ITGA1/PAK4/SHC3/ACTB/SHC2/MAPK8/RAC3/CAPN2/ITGA9/AKT1/LAMA4/TNC/COL2A1/COL6A1/ACTG1/CCND1",NA,NA
"hsa03082","hsa03082","ATP-dependent chromatin remodeling",99,-0.459528501515618,-1.87701270828596,3.95116030249638e-05,0.00279742149416743,0.00214610391167172,4449,"tags=51%, list=30%, signal=35%","51377/26039/6595/6760/54556/10933/57459/10847/54891/3014/29844/57492/8932/11176/8467/54815/6604/9112/1108/65980/6599/8338/9275/55274/6598/29994/55506/196528/6603/3065/9031/4798/54107/9219/54617/9643/54108/57504/6602/3015/53615/1107/60/5928/92815/94239/6594/7528/5931/71","UCHL5/SS18L1/SMARCA2/SS18/ING3/MORF4L1/GATAD2B/SRCAP/INO80D/H2AX/TFPT/ARID1B/MBD2/BAZ2A/SMARCA5/GATAD2A/SMARCD3/MTA1/CHD4/BRD9/SMARCC1/H2AC20/BCL7B/PHF10/SMARCB1/BAZ2B/MACROH2A2/ARID2/SMARCD2/HDAC1/BAZ1B/NFRKB/POLE3/MTA2/INO80/MORF4L2/CHRAC1/MTA3/SMARCD1/H2AZ1/MBD3/CHD3/ACTB/RBBP4/H2AC25/H2AZ2/SMARCA1/YY1/RBBP7/ACTG1",NA,NA
"hsa03083","hsa03083","Polycomb repressive complex",82,-0.484101784711868,-1.90190968935263,6.45445563308886e-05,0.00380812882352243,0.00292149044445075,2787,"tags=35%, list=19%, signal=29%","84733/221937/22955/9212/3065/54880/3054/3607/7323/7322/26147/26053/6500/1911/84678/7874/1912/23466/84108/100170841/5928/55777/171023/11091/10600/7528/7027/5931/6322","CBX2/FOXK1/SCMH1/AURKB/HDAC1/BCOR/HCFC1/FOXK2/UBE2D3/UBE2D2/PHF19/AUTS2/SKP1/PHC1/KDM2B/USP7/PHC2/CBX6/PCGF6/EPOP/RBBP4/MBD5/ASXL1/WDR5/USP16/YY1/TFDP1/RBBP7/SCML1",NA,NA
"hsa05214","hsa05214","Glioma",67,-0.491472862125772,-1.89322389289181,0.000169886937143645,0.00859142510697863,0.00659110222301661,3181,"tags=36%, list=22%, signal=28%","818/1643/5295/5605/4893/7157/1019/1950/817/5728/5578/1869/4616/5335/4193/2885/53358/816/25759/1026/801/207/57118/595","CAMK2G/DDB2/PIK3R1/MAP2K2/NRAS/TP53/CDK4/EGF/CAMK2D/PTEN/PRKCA/E2F1/GADD45B/PLCG1/MDM2/GRB2/SHC3/CAMK2B/SHC2/CDKN1A/CALM1/AKT1/CAMK1D/CCND1",NA,NA
"hsa00650","hsa00650","Butanoate metabolism",19,-0.683237813004612,-2.00167727824376,0.000344381899220544,0.0133513122748283,0.0102427551796185,445,"tags=16%, list=3%, signal=15%","39/18/3157","ACAT2/ABAT/HMGCS1",NA,"HMGCS1"
"hsa05012","hsa05012","Parkinson disease",238,-0.34279350240759,-1.55316534051885,0.000377155713978201,0.0133513122748283,0.0102427551796185,3322,"tags=29%, list=23%, signal=23%","514/7417/54205/10376/9927/818/522/4722/598/509/6391/4710/7385/1345/7157/5717/7416/6233/4706/513/3799/5686/5709/5715/51807/29796/347733/4514/55630/6622/4700/23516/10383/9451/5690/4540/817/55334/4541/5718/5687/9246/3710/51465/9861/836/5713/27089/5335/10131/7316/1965/7326/4128/816/118424/64116/5599/7922/4891/2774/57181/7846/147700/10105/3800/801/7327/7386","ATP5F1E/VDAC2/CYCS/TUBA1B/MFN2/CAMK2G/ATP5PF/NDUFS3/BCL2L1/ATP5F1C/SDHC/NDUFB4/UQCRC2/COX6C/TP53/PSMD11/VDAC1/RPS27A/NDUFAB1/ATP5F1D/KIF5B/PSMA5/PSMD3/PSMD9/TUBA8/UQCR10/TUBB2B/MT-CO3/SLC39A4/SNCA/NDUFA6/SLC39A14/TUBB4B/EIF2AK3/PSMB2/MT-ND5/CAMK2D/SLC39A9/MT-ND6/PSMD12/PSMA6/UBE2L6/ITPR3/UBE2J1/PSMD6/CASP3/PSMD7/UQCRQ/PLCG1/TRAP1/UBC/EIF2S1/UBE2G1/MAOA/CAMK2B/UBE2J2/SLC39A8/MAPK8/SLC39A7/SLC11A2/GNAL/SLC39A10/TUBA1A/KLC3/PPIF/KIF5C/CALM1/UBE2G2/UQCRFS1",NA,NA
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases",410,-0.309585912851124,-1.46775316985007,0.000314683457568243,0.0133513122748283,0.0102427551796185,3333,"tags=28%, list=23%, signal=23%","6262/514/7417/54205/10376/9927/818/522/4722/598/5605/509/487/6391/4710/7385/4893/1345/5717/7416/25978/6233/4706/7976/1457/489/7222/513/60673/8772/7475/774/3799/1459/5686/9001/5709/7482/8408/8325/5715/51807/83544/29796/347733/4514/6622/4700/10383/10452/23236/26100/81631/55081/5621/4747/9451/776/5690/4790/823/10133/4540/5609/8322/10121/5868/817/4541/1855/1452/5718/5578/5687/1499/9246/10126/3710/51465/9861/572/51384/7415/10010/836/5713/2905/27089/5335/10131/7316/2902/1965/6310/342371/5533/7855/7326/8312/816/9706/118424/5599/196385/7846/8323/81029/8632/147700/10105/824/775/3800/801/7327/7386","RYR2/ATP5F1E/VDAC2/CYCS/TUBA1B/MFN2/CAMK2G/ATP5PF/NDUFS3/BCL2L1/MAP2K2/ATP5F1C/ATP2A1/SDHC/NDUFB4/UQCRC2/NRAS/COX6C/PSMD11/VDAC1/CHMP2B/RPS27A/NDUFAB1/FZD3/CSNK2A1/ATP2A3/TRPC3/ATP5F1D/ATG101/FADD/WNT6/CACNA1B/KIF5B/CSNK2A2/PSMA5/HAP1/PSMD3/WNT2B/ULK1/FZD8/PSMD9/TUBA8/DNAL1/UQCR10/TUBB2B/MT-CO3/SNCA/NDUFA6/TUBB4B/TOMM40/PLCB1/WIPI2/MAP1LC3B/IFT57/PRNP/NEFL/EIF2AK3/CACNA1D/PSMB2/NFKB1/CAPN1/OPTN/MT-ND5/MAP2K7/FZD4/ACTR1A/RAB5A/CAMK2D/MT-ND6/DVL1/CSNK1A1/PSMD12/PRKCA/PSMA6/CTNNB1/UBE2L6/DNAL4/ITPR3/UBE2J1/PSMD6/BAD/WNT16/VCP/TANK/CASP3/PSMD7/GRIN2C/UQCRQ/PLCG1/TRAP1/UBC/GRIN1/EIF2S1/ATXN1/ATXN1L/PPP3CC/FZD5/UBE2G1/AXIN1/CAMK2B/ULK2/UBE2J2/MAPK8/DNAH10/TUBA1A/FZD6/WNT5B/DNAH17/KLC3/PPIF/CAPN2/CACNA1C/KIF5C/CALM1/UBE2G2/UQCRFS1",NA,NA
