"","ID","log2FoldChange","AveExpr","t","P.Value","padj","B"
"CHCHD4","CHCHD4",0.316526550297462,7.63068489224356,5.53589408475078,1.05403697218057e-06,0.0199191907002685,5.37396548621366
"ID3","ID3",-0.553770172555526,5.44082235377789,-5.20426667789241,3.42253462690278e-06,0.0200486437321863,4.34362332290353
"ETV1","ETV1",0.593289828744336,3.68797170482867,5.21472615687132,3.29859109778969e-06,0.0200486437321863,4.13217452108926
"ID2","ID2",-0.370243173698476,5.84656574974451,-5.1431893392241,4.24354825530455e-06,0.0200486437321863,4.12815403820648
"ETV5","ETV5",0.55424719996665,4.42174237394324,4.68101762214682,2.10912310292573e-05,0.0797164167981808,2.62331417944492
"NDUFB4","NDUFB4",-0.262169752744103,5.96321593740138,-4.14499550532851,0.000126841837588042,0.299632130842352,0.881644611811011
"HSPA5","HSPA5",0.156970103097601,8.65132124505552,4.20351276499371,0.000104706649281499,0.299632130842352,0.694242300755409
"EEF2","EEF2",-0.0972778526911569,12.0623074330689,-4.15204047782221,0.00012395399162418,0.299632130842352,-0.117083628069745
"SPRY4","SPRY4",0.701960756526613,2.6228327352124,3.83675899392684,0.000341752182618705,0.453932338956463,-0.129199993975488
"CDC14A","CDC14A",0.437034215502305,3.91445029900969,3.71481884308139,0.000501023512825508,0.576599460711315,-0.180290566549892
"SLC7A1","SLC7A1",-0.149400936225048,8.01818044912005,-3.84395701693107,0.00033406197645443,0.453932338956463,-0.323639861576097
"GPRC5C","GPRC5C",-0.545298053305779,2.7296735125645,-3.67681794953673,0.000563794992747372,0.576599460711315,-0.376451663265773
"SUSD5","SUSD5",-0.403821213569448,3.91058447448989,-3.63771642224365,0.000636219120427413,0.576599460711315,-0.388389607970949
"CTH","CTH",-0.360373353270237,4.05459045392843,-3.63449039445692,0.000642576675748328,0.576599460711315,-0.402485289276914
"FAM161B","FAM161B",0.929543431051773,1.55908362255941,3.88673315760237,0.000291685769117681,0.453932338956463,-0.571776035450232
"MTFP1","MTFP1",-0.622895120217117,2.32065731571907,-3.63953987395949,0.000632652309666598,0.576599460711315,-0.601075602207183
"KANK2","KANK2",-0.238884618257828,5.30284829487831,-3.53681942322468,0.000866521778543465,0.576599460711315,-0.821031151343698
"MTND4P12","MTND4P12",0.830949530737637,2.00610230400949,3.58654029734677,0.00074454422140457,0.576599460711315,-0.89295665527577
"PYGB","PYGB",-0.186344290610426,6.78598370509625,-3.55338776271583,0.000823898415909177,0.576599460711315,-0.992983124257989
"EIF4EBP1","EIF4EBP1",-0.182863769581853,6.85461949484041,-3.55656218778282,0.000815963733709138,0.576599460711315,-1.00563351247845
"FBL","FBL",-0.120753833316613,9.30356515746523,-3.67594839789096,0.000565316044852777,0.576599460711315,-1.0396306256604
"ASNS","ASNS",-0.163354278201814,7.87836928337624,-3.57702143996174,0.000766548290170722,0.576599460711315,-1.10661960026002
"YJEFN3","YJEFN3",0.909885605122498,1.52731002566454,3.58361013984735,0.000751252533441818,0.576599460711315,-1.10736392669671
"ITGA4","ITGA4",-0.311367448455839,4.37043620937523,-3.35384509273903,0.00150057884734105,0.689424831802518,-1.19532900186139
"ENSG00000287091","ENSG00000287091",-1.34096378669052,0.470162494069744,-3.90677934201679,0.000273657341327674,0.453932338956463,-1.21208197060356
"ENSG00000291225","ENSG00000291225",0.834104083399436,1.56257370116657,3.51877475927684,0.00091533409997563,0.576599460711315,-1.22080638177668
