"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",1769.7811317594,0.246607417540369,0.0308710660867811,7.98830260176746,1.36809308148239e-15,1.51637671870112e-14
"TNMD",11.4946253457296,3.97698319372853,0.476162900686216,8.35214836770601,6.7032385305904e-17,8.06864979306353e-16
"DPM1",1704.49557235718,-0.184901015254107,0.0450940552080117,-4.10034126230582,4.12541331496819e-05,0.000158911660877026
"SCYL3",470.267211090083,0.144325175156964,0.0402937773756159,3.58182291552301,0.000341205053597325,0.00111771417973344
"FIRRM",979.92219478884,0.0962650524576971,0.0470811775583993,2.04466110343757,0.0408882808818072,0.0798580748350964
"FUCA2",2705.37856368665,0.0770259177028661,0.023837743543314,3.23125876251279,0.00123246309736566,0.00359380731057278
"GCLC",2255.84494928389,0.162366233547516,0.0519993630234958,3.12246581701686,0.00179342930564882,0.00504573872534636
"NFYA",2324.38713782997,0.106240077551591,0.0901794823779761,1.17809588999745,0.238758380385065,0.343644773230538
"STPG1",488.575341457705,-0.377211791042662,0.0644062574954069,-5.85675686977407,4.71993321558707e-09,3.02363721722591e-08
"NIPAL3",2032.17358897962,0.142555039306782,0.0353262231187075,4.03538863545505,5.45119910993627e-05,0.000206487794707508
"LAS1L",3828.96644806976,-0.123368925087078,0.0334086273081392,-3.69272655081588,0.000221862544764499,0.000753145028014998
"ENPP4",1010.60132634373,0.116740382931568,0.0441230053476543,2.64579400273727,0.00814994303732058,0.0194589543296632
"SEMA3F",155.058266140343,-0.45396822147874,0.0860387527215211,-5.27632266994949,1.31801931265624e-07,7.11655113445076e-07
"ANKIB1",1252.05638945399,0.34136074413841,0.0372319673914107,9.16848525756822,4.79712116107822e-20,6.83680208914451e-19
"CYP51A1",179.486702250539,-0.146876021453215,0.0845165321520699,-1.73783776633123,0.0822394040131999,0.1444417369913
"KRIT1",260.264871311772,0.0106209026507157,0.0600355148032713,0.176910328586654,0.859578825550885,0.900012224791436
"RAD52",611.044895826804,-0.19818612654308,0.0742941514658408,-2.66758718731989,0.00763980638670357,0.0183709201038203
"BAD",687.602799600376,-0.324765637996406,0.0573314460165779,-5.664703414292,1.47279053563258e-08,8.89795253912546e-08
"LAP3",1691.22744915084,-0.0476755880557652,0.0458696142981353,-1.0393718976116,0.298631808580377,0.409962510428009
"WNT16",70.6385747360794,0.521523387150866,0.110116235869377,4.73611709511677,2.17851748818485e-06,1.02411998735615e-05
"HECW1",14.5079795933522,-0.0684203659228763,0.229380584342908,-0.298283161667217,0.765487054724952,0.831532698752207
"LASP1",2470.66182568416,-0.199949890083561,0.0301439051350483,-6.63317805665064,3.28535091962825e-11,2.60211909803582e-10
"SNX11",696.848551076991,0.158387206988714,0.0523564530379614,3.02517068667494,0.0024849284770514,0.00676172474576203
"M6PR",2600.11777221647,0.0978548883374608,0.0435949781038436,2.24463671261331,0.0247914639191041,0.0518606470160759
