"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",1769.7811317594,0.118476729703709,0.030742927661419,3.85378813002223,0.000116304248532441,0.000793472089807244
"TNMD",11.4946253457296,-0.0454273110768634,0.275991630132301,-0.164596698295115,0.869261430150296,0.932839438215803
"DPM1",1704.49557235718,-0.154770162184208,0.0451272302950296,-3.42964017894212,0.000604382150668847,0.00342374516886687
"SCYL3",470.267211090083,0.0703372475558674,0.0400920674372229,1.75439312691976,0.0793631682256682,0.190185791672417
"FIRRM",979.92219478884,0.0810036414484293,0.0470798878715321,1.72055722964901,0.0853312002734214,0.200516484246485
"FUCA2",2705.37856368665,0.0109355044816306,0.0237894891529606,0.45967798683351,0.645747372414165,0.791777487215494
"GCLC",2255.84494928389,0.0164411104862749,0.0519330085490309,0.316583054701184,0.751559995294512,0.862249926607315
"NFYA",2324.38713782997,0.123780798188967,0.0901892164187086,1.37245674265877,0.169921296258326,0.331664186809528
"STPG1",488.575341457705,-0.141707538647097,0.0648437465823045,-2.18536938588568,0.0288617736574468,0.0867137994560301
"NIPAL3",2032.17358897962,0.0293059893003442,0.0352442386896367,0.831511486413847,0.405684742067637,0.594128197116723
"LAS1L",3828.96644806976,-0.0484751728814497,0.0334491075626404,-1.44922171064414,0.147275676358864,0.299852623238663
"ENPP4",1010.60132634373,0.165623690742499,0.0442079645254796,3.74646723775397,0.000179342413730368,0.00117192701752299
"SEMA3F",155.058266140343,-0.212654692632316,0.0870662913389174,-2.44244574291707,0.0145881222533123,0.0504550392282385
"ANKIB1",1252.05638945399,0.176113109378876,0.037029028974086,4.75608230240455,1.97386023774882e-06,1.987320765742e-05
"CYP51A1",179.486702250539,0.0109967370035477,0.0851603264890323,0.129129812635981,0.897254932415844,0.947866016021638
"KRIT1",260.264871311772,0.0178613560257052,0.0601045680676945,0.297171356519663,0.766335688788168,0.870116068656501
"RAD52",611.044895826804,-0.156593979550226,0.074364329694114,-2.10576737791291,0.0352245638296175,0.101567562900841
"BAD",687.602799600376,-0.322820267553445,0.0573541540716939,-5.62854204335248,1.81739207135206e-08,2.53469190881263e-07
"LAP3",1691.22744915084,-0.0210959215908352,0.045900845911983,-0.459597664742118,0.645805035653787,0.791777487215494
"WNT16",70.6385747360794,0.380976593596117,0.109021576293867,3.4945063770606,0.00047493926329272,0.00276506537205971
"HECW1",14.5079795933522,-0.712993543992022,0.218631816927876,-3.26116095091151,0.00110957038989286,0.00581171320071929
"LASP1",2470.66182568416,0.0879746397396963,0.0303781024928786,2.89598864051235,0.00377966081505945,0.0165266150122613
"SNX11",696.848551076991,0.084442986218004,0.0522575130916692,1.61590135508124,0.106115642609855,0.236510604321388
"M6PR",2600.11777221647,0.0649598681551548,0.0435858892802123,1.49038758249327,0.136122355632992,0.283483648398226
"KLHL13",566.117017976683,-0.00201606558336983,0.0435217112038566,-0.0463232149564739,0.963052636308445,0.981710622147695
"CYP26B1",82.5725596670903,-0.209245651317313,0.119719907204915,-1.74779329689226,0.0804998264489859,0.192275748259977
"ICA1",90.4626474217391,-0.419123398344364,0.109680882817222,-3.82129854883475,0.000132750828826882,0.000892077362968054
"DBNDD1",1167.23470282679,-0.708202084351715,0.0704523614327876,-10.0522121607996,8.98279222051631e-24,3.98490158176801e-22
"ALS2",1177.80648601533,0.113043851743033,0.0456687930630477,2.47529755356073,0.0133125211679184,0.046936571834202
"CASP10",98.3268475332564,0.585388100331538,0.136098650034842,4.30120431159072,1.6987234109512e-05,0.000140615308892491
"CFLAR",705.244214541615,-0.00771685136652181,0.057415362117903,-0.134403948383625,0.893083159606139,0.945443187601506
"TFPI",363.165272353231,0.275368679749712,0.0805857663297312,3.41708830592976,0.000632947454350091,0.00356207295780465
"NDUFAF7",554.054340032279,-0.0893937129627949,0.0404615409229235,-2.2093501859725,0.0271502930015654,0.0827158209162635
"RBM5",2076.62832496688,-0.0226948525011499,0.0238323737571511,-0.952269913706773,0.340960112032508,0.532306237284935
"MTMR7",527.793928731348,-0.146491026171825,0.0547391957354593,-2.67616329037384,0.00744703524054452,0.0293134913509291
"SLC7A2",3507.11253181747,0.0242176088022963,0.0348537240057392,0.694835616369387,0.487158324962463,0.667947328240632
"ARF5",3059.59336281985,0.0393906772764955,0.0364920877786657,1.07943062933013,0.280395802878188,0.467535104706015
"SARM1",758.021935079931,-0.177791729910497,0.0538246456804057,-3.30316582047135,0.000955998389156456,0.00508341518240819
"POLDIP2",6631.35739344108,-0.031520257561824,0.0282048458593936,-1.11754759160743,0.263760262717039,0.447445372067021
"PLXND1",721.519328090904,-0.179862848149158,0.0591486213486522,-3.04086289837517,0.00235901221026139,0.0111062812031688
"AK2",9305.0723959398,-0.0655521158844137,0.0271167584318098,-2.41740236205802,0.0156317270916436,0.0532881881713407
"FKBP4",13296.1268615153,0.0133668794175688,0.024167950082878,0.553082879256634,0.580206659578808,0.743758699575284
"KDM1A",7432.69841943198,-0.0482485137034921,0.0149308483557555,-3.23146498804895,0.0012315741086304,0.00636022704804503
"RBM6",1813.2550548682,0.0263497464863059,0.0290705137833727,0.906408007875564,0.364719935828878,0.555083945179523
"CAMKK1",1248.59550195359,-0.0783901151864393,0.0344551610008021,-2.27513420078386,0.0228978805690217,0.0723135272381973
"RECQL",1687.17860142936,0.0459242026137415,0.0344862121695398,1.33166850531368,0.182969142888631,0.348453419699389
"VPS50",1169.70877645238,0.111641690711077,0.0342347277234852,3.2610655359321,0.0011099438345126,0.00581205834985289
"HSPB6",27.0286094787727,0.0183765194814897,0.166682436429677,0.1102486853151,0.912212152271633,0.956605363388787
