"","V1","V2"
"1","ENSG00000000003.16","TSPAN6"
"2","ENSG00000000005.6","TNMD"
"3","ENSG00000000419.14","DPM1"
"4","ENSG00000000457.14","SCYL3"
"5","ENSG00000000460.17","FIRRM"
"6","ENSG00000000938.13","FGR"
"7","ENSG00000000971.17","CFH"
"8","ENSG00000001036.14","FUCA2"
"9","ENSG00000001084.13","GCLC"
"10","ENSG00000001167.15","NFYA"
"11","ENSG00000001460.18","STPG1"
"12","ENSG00000001461.18","NIPAL3"
"13","ENSG00000001497.18","LAS1L"
"14","ENSG00000001561.7","ENPP4"
"15","ENSG00000001617.12","SEMA3F"
"16","ENSG00000001626.18","CFTR"
"17","ENSG00000001629.10","ANKIB1"
"18","ENSG00000001630.18","CYP51A1"
"19","ENSG00000001631.17","KRIT1"
"20","ENSG00000002016.18","RAD52"
"21","ENSG00000002079.15","MYH16"
"22","ENSG00000002330.14","BAD"
"23","ENSG00000002549.13","LAP3"
"24","ENSG00000002586.20","CD99"
"25","ENSG00000002587.10","HS3ST1"
"26","ENSG00000002726.21","AOC1"
"27","ENSG00000002745.13","WNT16"
"28","ENSG00000002746.15","HECW1"
"29","ENSG00000002822.16","MAD1L1"
"30","ENSG00000002834.19","LASP1"
"31","ENSG00000002919.15","SNX11"
"32","ENSG00000002933.9","TMEM176A"
"33","ENSG00000003056.8","M6PR"
"34","ENSG00000003096.15","KLHL13"
"35","ENSG00000003137.9","CYP26B1"
"36","ENSG00000003147.19","ICA1"
"37","ENSG00000003249.15","DBNDD1"
"38","ENSG00000003393.16","ALS2"
"39","ENSG00000003400.16","CASP10"
"40","ENSG00000003402.21","CFLAR"
"41","ENSG00000003436.16","TFPI"
"42","ENSG00000003509.16","NDUFAF7"
"43","ENSG00000003756.17","RBM5"
"44","ENSG00000003987.14","MTMR7"
"45","ENSG00000003989.18","SLC7A2"
"46","ENSG00000004059.11","ARF5"
"47","ENSG00000004139.14","SARM1"
"48","ENSG00000004142.12","POLDIP2"
"49","ENSG00000004399.13","PLXND1"
"50","ENSG00000004455.18","AK2"
"51","ENSG00000004468.13","CD38"
"52","ENSG00000004478.8","FKBP4"
"53","ENSG00000004487.18","KDM1A"
"54","ENSG00000004534.15","RBM6"
"55","ENSG00000004660.15","CAMKK1"
"56","ENSG00000004700.16","RECQL"
"57","ENSG00000004766.17","VPS50"
"58","ENSG00000004776.13","HSPB6"
"59","ENSG00000004777.19","ARHGAP33"
"60","ENSG00000004779.10","NDUFAB1"
"61","ENSG00000004799.8","PDK4"
"62","ENSG00000004809.14","SLC22A16"
"63","ENSG00000004838.14","ZMYND10"
"64","ENSG00000004846.17","ABCB5"
"65","ENSG00000004848.8","ARX"
"66","ENSG00000004864.14","SLC25A13"
"67","ENSG00000004866.22","ST7"
"68","ENSG00000004897.12","CDC27"
"69","ENSG00000004939.16","SLC4A1"
"70","ENSG00000004948.16","CALCR"
"71","ENSG00000004961.15","HCCS"
"72","ENSG00000004975.12","DVL2"
"73","ENSG00000005001.10","PRSS22"
"74","ENSG00000005007.14","UPF1"
"75","ENSG00000005020.13","SKAP2"
"76","ENSG00000005022.6","SLC25A5"
"77","ENSG00000005059.16","MCUB"
"78","ENSG00000005073.6","HOXA11"
"79","ENSG00000005075.16","POLR2J"
"80","ENSG00000005100.13","DHX33"
"81","ENSG00000005102.14","MEOX1"
"82","ENSG00000005108.17","THSD7A"
"83","ENSG00000005156.12","LIG3"
"84","ENSG00000005175.10","RPAP3"
"85","ENSG00000005187.12","ACSM3"
"86","ENSG00000005189.20","REXO5"
"87","ENSG00000005194.15","CIAPIN1"
"88","ENSG00000005206.17","SPPL2B"
"89","ENSG00000005238.20","ATOSB"
"90","ENSG00000005243.10","COPZ2"
"91","ENSG00000005249.14","PRKAR2B"
"92","ENSG00000005302.19","MSL3"
"93","ENSG00000005339.15","CREBBP"
"94","ENSG00000005379.17","TSPOAP1"
"95","ENSG00000005381.9","MPO"
"96","ENSG00000005421.9","PON1"
