"","log2FoldChange","padj"
"TNMD",3.97698319372853,8.06864979306353e-16
"CX3CL1",-1.24136359907563,0.000982379999960011
"NOS2",-1.17948806230055,1.14766209628994e-28
"CYB561",1.24207470231016,6.10463422991212e-63
"TENM1",1.73433679801016,4.24641564215539e-41
"SLC6A13",1.26434367186831,7.96915167659969e-07
"STMN4",1.04042726012976,3.62321704486292e-05
"ISL1",-1.08953481971743,9.07417808744767e-07
"SNAI2",1.0269162132596,2.35687743700961e-08
"CD44",1.05603715504524,1.28775542261025e-40
"XK",1.02262913195489,2.41379594691685e-102
"FAM184B",-1.03272516218373,1.0918322582539e-12
"PTGER3",1.41922201735572,8.69471954101286e-12
"COL23A1",-1.33224829068089,4.3667333883783e-14
"MSH4",1.20584977339912,1.71227154414684e-07
"LIMCH1",1.02290863857421,4.1245298816674e-99
"LNX1",-2.95101775421061,1.20522206556631e-43
"NOTCH3",-1.07072841237633,3.8314386215138e-15
"PPP2R2C",-1.06543932749869,1.18985296198797e-27
"FSCN1",-1.63734736074902,1.21799467468543e-297
"ADCYAP1R1",-2.07033159334329,3.03105717374985e-47
"ZNF671",1.32434850601106,1.68076797433232e-12
"GSTP1",11.9293692701216,8.10214571150273e-89
"PPEF1",-1.03283216741234,5.73227759297934e-12
"SLC15A1",2.8901907980308,6.69565202120598e-22
"BLVRB",-1.0255072741209,7.49199687492116e-74
"CHRD",-1.51738005160951,3.92735573207749e-41
"RGS17",-1.82978576857539,2.92464960753749e-63
"COL9A3",-1.45892022924184,6.09515631107668e-13
"PRTFDC1",-3.12840794941127,6.46452795315322e-65
"MMP11",-1.01404063848241,9.06089227101482e-09
"SLC25A1",-1.02767045616812,3.95131767775273e-134
"NEFH",1.13282513851205,1.74290487074214e-12
"TSPO",1.8175343227504,1.67515940031846e-51
"PDGFB",-1.21255801239605,2.76720647089989e-05
"DHRS2",1.36204305704259,6.56453639344324e-58
"PCK2",-1.10629840353821,8.15092024470511e-33
"VSX1",1.90008813778569,1.99394042832171e-10
"WFDC2",3.68720661389062,3.32917535607905e-22
"RENBP",-1.98184401240906,6.77866853018073e-40
"PHEX",1.17792127117794,1.1971940250405e-07
"ZNF423",-1.49866034917188,3.63441146948938e-55
"SLC7A5",-1.16599804064682,1.16538217895392e-85
"NDRG1",-1.15908906271032,5.87828720351443e-32
"LHB",1.41772412253207,1.76075354643542e-11
"AURKC",1.09853385068549,5.39083576479646e-15
"TGFB1",-1.79949101160065,1.81698691316583e-67
"PLEKHA4",1.03872028199126,9.01818470858691e-16
"ISYNA1",-1.09238515776876,1.3521912478028e-207
"RUNDC3B",1.32293088094133,1.36743139369308e-56
"PTPRZ1",2.03246399862255,6.17420498286404e-118
"MEST",-1.24447458047884,9.7591958322624e-24
"GLIS3",2.27103444492532,3.63026637967126e-88
"ACTA2",-1.4306286319505,3.87160793220677e-58
"DKK1",1.00244801482039,1.66630775824937e-06
"CCKBR",-1.05697170295494,1.8379416104712e-06
"MDK",-1.14061260501356,4.4955935666047e-119
"SELPLG",1.40862279796803,3.33902563040676e-07
"RASAL1",-1.10100216024978,1.15380486163589e-12
"COL12A1",2.61172773154372,3.57851398066253e-20
"GCNT2",-1.33675203165039,3.0609156018079e-27
"PHACTR1",1.98266026040343,6.16186166666025e-89
"GHR",-1.62517483913551,1.79132693994809e-28
"BCHE",-1.49150466787878,1.61398894179925e-10
"PDE1A",2.6056310564525,1.85726647735155e-52
"DLGAP3",-1.02359142110248,2.97970928844066e-20
"TFAP2E",1.0209803487931,5.51968049552684e-24
"ACTL8",-1.19899980814828,9.47184567647921e-30
"RGS4",1.18992274011407,3.2124031902615e-08
"IRF6",1.71813700693021,8.50606346570567e-08
"COLEC11",-1.29720180307219,1.43255349107573e-06
"RAB32",-1.10366780804098,1.58487493579403e-29
"ALDH8A1",1.07313986594246,1.82854975695252e-08
"CCN2",1.2600222965301,0.0203969646985062
"SFRP5",-1.04553158470694,2.34352453043294e-15
"EGR1",1.12468806601251,0.00985233683278676
"ABCC11",-1.05228688062825,2.58723735965678e-05
"KCNJ8",-1.45892881774679,2.34384146053488e-21
"PRXL2A",-1.00051924292846,2.88236162189739e-58
"INHBA",1.12834676037908,0.000130508489973275
"HVCN1",1.35366604810399,2.96323764888638e-15
"NCKAP1L",-1.11367924089116,3.51307841796508e-18
"HOXC11",-1.55574656235231,6.83146039232779e-90
"G0S2",1.69187479065521,1.98081796013764e-12
"PCK1",2.82501010814485,7.96180233093097e-14
"CLYBL",-1.23886926077726,1.13825749122559e-41
"SRMS",1.21988863405007,5.52184263617014e-06
