"","log2FoldChange","padj"
"CX3CL1",-1.00179479949426,0.016868180188313
"TNFRSF12A",1.21359012705576,5.73262545436979e-11
"TENM1",-1.52644256433351,9.49859091083706e-48
"ISL1",1.70290252168956,1.983445371798e-08
"CNTN1",1.93241203487334,2.27897863725356e-180
"SNAI2",3.18823905151941,2.2683876609178e-44
"CDH1",-1.14163369077426,3.25174723889828e-22
"PTGER3",1.19925906004815,9.84387707263368e-09
"CDH3",-1.08991572635769,7.52064294619086e-17
"DGAT2",1.05937479154951,9.61658318916001e-08
"LNX1",-3.73553435603192,2.68337639241209e-71
"FSCN1",-1.09472303083635,9.7630203415561e-132
"PAK3",1.08401517625689,1.39290513352617e-09
"RIMS1",1.32733003497897,2.64651201493105e-11
"COL5A3",1.01919916347668,3.73069725051543e-05
"PGR",1.14509635839276,0.000153894437272028
"PRTFDC1",-1.10056404154864,3.93738665699532e-07
"PAK5",1.6186465761994,6.72432064702179e-22
"RUBCNL",-1.08622189838158,1.13807221695939e-05
"XYLT1",2.07871554108578,7.35591641674839e-11
"DECR1",-1.53743694586133,1.19742505183046e-23
"EPHB6",2.48510955855379,2.32448353553787e-28
"PTPRZ1",3.01427027071635,9.22072765097013e-175
"GLIS3",1.1414153892846,3.25754118510377e-29
"DKK1",1.54789915164782,2.74853913646462e-12
"VWA5A",1.39831396372127,8.7595979754017e-09
"COL12A1",1.61130673835791,5.52895211485334e-08
"PHACTR1",1.19495119681339,4.23130596815222e-34
"PACRG",2.09887467279873,3.49314915523553e-12
"BCHE",1.74088098755864,9.05814628989002e-07
"PDE1A",2.02231385551553,1.23486164516434e-38
"SLC9A2",1.062361456569,4.83482227981332e-15
"CNR1",1.25715610372844,9.36975419253591e-09
"CCN2",2.31876365366257,1.42089723737974e-05
"PCDH17",1.19557856747283,3.53706498992886e-06
"SFRP5",-1.12787490262229,1.8366509300855e-17
"INHBA",1.14765935586199,0.000202684867250184
"CNTFR",1.06682313524833,1.59118764785675e-40
"HVCN1",1.27353864882734,1.85529330784751e-13
"NCKAP1L",-1.03699612069514,2.19031067382526e-15
"ENKD1",-1.07752598307042,9.54132006903515e-47
"BMP2",2.44898605856488,6.59291990010859e-68
"PCSK2",1.15920988607073,4.40092469894873e-07
"AMOT",-1.56729913821521,2.77926521360797e-105
"HSPA2",1.2082689330345,3.45654567099906e-40
"FLNC",1.27692759542611,2.96835026520627e-11
"PLPPR3",-1.39018518057289,3.45628113870201e-12
"TNNI3",1.85121113207678,4.95636979835998e-21
"GADD45G",1.09139722634908,8.35679617415188e-17
"BST2",-1.13715836475014,1.35096150965978e-09
"GDF15",1.89955106660709,1.23832651758538e-30
"RAMP2",-1.03189262117618,2.84859334595525e-06
"SLC6A11",1.1258074666332,6.12037385807162e-45
"CHRM3",2.32277006964584,2.47341497969488e-21
"EPSTI1",-1.44984832947649,1.53374884833164e-16
"TRPC4",1.07846027162006,6.48925571924409e-25
"ANXA1",1.36685700656226,9.93742254649582e-41
"CGA",1.57915278322021,6.90648915954549e-22
"LCP1",-7.39865100768431,0
"GALNT5",2.35612848096006,5.97163864606487e-18
"ANGPTL2",1.32808856654458,7.42977741058308e-08
"CCN3",1.04103728252488,1.32065996021009e-16
"DMRT1",1.02159134693207,0.000413237179571586
"IGFBPL1",2.75530082826686,3.23649308042296e-134
"IRF4",1.28157594217812,5.75057410247508e-24
"SLC38A4",2.85426724849709,5.80769235853749e-52
"PPFIA2",1.63269189545748,5.89279740746144e-17
"IRF8",-1.04620101040314,7.867908942661e-32
"SECTM1",1.5039135454382,2.35619305778533e-05
"IGFBP4",2.58764568348311,6.16848708996427e-26
"RXRG",1.18111797173069,9.32266370220941e-05
"TMEFF2",1.75785663863239,6.59632494078039e-106
"GADL1",1.1871475032845,5.04861120737391e-09
"EPHA5",1.99343914656548,1.04075073448819e-15
"DDIT4L",1.19754414032164,7.10233188506522e-12
"SFRP2",1.79180006933085,1.32918324755026e-19
"ADAMTS16",1.4152170868532,5.48855851499876e-13
"CLVS2",1.61010461361778,2.91223067731179e-18
"IGFBP3",1.74280291514588,2.5858673716936e-09
"IGSF1",1.05994246281958,0.00135871575308655
"RSPO2",1.05190963337356,3.26428888360954e-09
