"","log2FoldChange","padj"
"TNMD",4.0224105048054,5.10475058283602e-16
"CYB561",1.58727840587413,1.93694911559811e-105
"TENM1",3.26077936234367,1.879544419247e-156
"ISL1",-2.79243734140698,2.89008056018879e-24
"CNTN1",-2.55347005158081,0
"SNAI2",-2.16132283825981,7.84505318311286e-20
"CPS1",1.18461157528524,2.88870278566102e-86
"XK",1.17054905802336,8.05976339208371e-137
"FAM184B",-1.01980536667577,1.3232515488602e-12
"COL23A1",-1.6823812722976,1.54662336739392e-20
"CALCRL",-1.0454098629282,4.96441053210805e-07
"COL17A1",-1.53625407601875,1.2056356602731e-13
"NOTCH3",-1.533146582453,1.32298696453022e-29
"ADCYAP1R1",-1.21762312367854,1.44957146919707e-21
"RIMS1",-1.13217801752615,1.81046995815544e-08
"CDH7",1.16224377060184,5.10340893482038e-26
"PGR",-1.39182092277072,8.67742821019675e-07
"ZNF671",1.09305421231191,1.72487019522728e-08
"GSTP1",11.7469148859268,6.43592928770876e-86
"SLC15A1",3.06336750045843,1.13500394121836e-24
"CHRD",-1.92745412917479,9.71521620556993e-62
"RGS17",-2.00053595198549,2.07463335583614e-74
"PRTFDC1",-2.02784390786263,1.45310267270168e-41
"MMP11",-1.30334131502325,3.93982747955147e-13
"TSPO",2.49441441729361,1.81569849433995e-101
"VSX1",1.49187671892407,2.07105433202241e-06
"WFDC2",2.74222985816138,6.26557260687818e-12
"RENBP",-2.47412819772142,1.34279449665698e-55
"PHEX",1.0939762032926,1.57011429774968e-06
"CBLN1",-1.01844998350386,2.39577063227932e-11
"XYLT1",-2.89435594505335,2.48831886569989e-22
"LHB",1.24688930831039,8.19978530595849e-09
"AURKC",1.19839254675034,6.84913781733655e-18
"RUNDC3B",1.27213776804518,2.12456867330351e-52
"EPHB6",-2.07971869995023,9.55103795675992e-20
"MEST",-1.4750173158459,2.33591034543226e-31
"GLIS3",1.12961905564072,3.50825731486466e-20
"ACTA2",-1.37876080144749,6.91751339067271e-55
"VWA5A",-1.9707572631741,1.86169783102379e-18
"CCKBR",-1.1814551832125,1.3951641993106e-07
"COL12A1",1.0004209931858,0.0014203868667339
"PACRG",-2.56261224579263,4.50276790317432e-19
"GHR",-1.7634981537877,7.37783177008049e-33
"IRX4",-1.10421085865573,9.31756273257445e-08
"BCHE",-3.23238565543742,2.97015508909821e-25
"ACTL8",-1.22871417857349,2.18616089621982e-31
"IRF6",1.3014734270861,0.00013827042661562
"COLEC11",-1.13922271677043,2.02270158880877e-05
"RAB32",-1.1672643501648,5.94355678307017e-33
"PCDH17",-1.06517278474644,3.59399385796365e-05
"IFIT3",-1.11005221696235,8.6457147626647e-12
"PYROXD2",-1.3412577673126,3.81736843598824e-08
"TRIM6",-1.09584957396381,3.26144508486848e-09
"KCNJ8",-1.87113254368038,1.27283559623596e-33
"PRXL2A",-1.02007593544959,1.19809872122543e-60
