"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",1769.7811317594,0.12813068783666,0.0308797166412674,4.14934791420422,3.33423724024252e-05,0.000195320568400815
"TNMD",11.4946253457296,4.0224105048054,0.474976274704604,8.46865563402509,2.48241389862753e-17,5.10475058283602e-16
"DPM1",1704.49557235718,-0.0301308530698995,0.0448763455416017,-0.671419490741895,0.501953331824822,0.649749734969359
"SCYL3",470.267211090083,0.0739879276010962,0.0401788957381932,1.84146244543911,0.0655538190966282,0.142772395215867
"FIRRM",979.92219478884,0.0152614110092678,0.0470422300302636,0.324419378066254,0.745620550841932,0.839528653982847
"FUCA2",2705.37856368665,0.0660904132212355,0.0237457194070066,2.78325588239429,0.00538163440732624,0.018047743735818
"GCLC",2255.84494928389,0.145925123061241,0.0519511312346212,2.80889211829123,0.00497123020821137,0.0168846708258049
"NFYA",2324.38713782997,-0.0175407206373762,0.0901826796001192,-0.194502100793122,0.845782750944463,0.905586539793114
"STPG1",488.575341457705,-0.235504252395565,0.0638774116878642,-3.68681582695228,0.000227077574972035,0.00111840292202802
"NIPAL3",2032.17358897962,0.113249050006438,0.0352586419773588,3.21195155727098,0.00131836603627914,0.00533843611604956
"LAS1L",3828.96644806976,-0.0748937522056286,0.0333301917591008,-2.24702434198204,0.0246384714825402,0.0644632194485733
"ENPP4",1010.60132634373,-0.0488833078109307,0.0441973427614132,-1.10602368279952,0.268716268873473,0.419360319534643
"SEMA3F",155.058266140343,-0.241313528846423,0.0844285994313517,-2.85819651719597,0.00426056439870609,0.0147519505325664
"ANKIB1",1252.05638945399,0.165247634759534,0.0373129753015522,4.42869091580215,9.48067746016046e-06,6.18453029486063e-05
"CYP51A1",179.486702250539,-0.157872758456763,0.084107528206161,-1.87703481274341,0.0605133226765792,0.133908755496721
"KRIT1",260.264871311772,-0.00724045337498957,0.0596848784319731,-0.121311353314425,0.903444427789414,0.942130713848601
"RAD52",611.044895826804,-0.0415921469928546,0.0739220479063175,-0.562648738378635,0.573674096927503,0.710087062666165
"BAD",687.602799600376,-0.00194537044296115,0.0566258540925468,-0.034354809726697,0.972594218794786,0.983786626707909
"LAP3",1691.22744915084,-0.02657966646493,0.0457641638321513,-0.580796506244842,0.561377610043396,0.700258354759082
"WNT16",70.6385747360794,0.140546793554749,0.112084668402548,1.25393415136832,0.209865940643194,0.349407104378936
